subj;trial;response;RT 
1;Bach_new_12.wav;t;1592 
1;Bach_old_2.wav;r;1346 
1;Bach_old_3.wav;r;1280 
1;Bach_new_3.wav;t;1540 
1;Bach_old_3.wav;r;1312 
1;Bach_new_20.wav;t;1455 
1;Bach_new_8.wav;t;1592 
1;Bach_new_17.wav;t;1529 
1;Bach_old_3.wav;r;1268 
1;Bach_new_1.wav;t;1240 
1;Bach_old_1.wav;r;1499 
1;Bach_old_2.wav;r;1658 
1;Bach_old_3.wav;r;1394 
1;Bach_new_10.wav;t;1307 
1;Bach_new_21.wav;t;1628 
1;Bach_new_5.wav;t;1474 
1;Bach_new_14.wav;t;1355 
1;Bach_new_18.wav;t;1442 
1;Bach_old_1.wav;r;1428 
1;Bach_old_1.wav;r;1346 
1;Bach_new_16.wav;t;1571 
1;Bach_old_3.wav;r;1195 
1;Bach_new_13.wav;r;1979 
1;Bach_old_3.wav;t;1596 
1;Bach_new_7.wav;t;1418 
1;Bach_new_2.wav;t;1421 
1;Bach_old_1.wav;r;1091 
1;Bach_new_15.wav;t;1067 
1;Bach_new_11.wav;t;1425 
1;Bach_new_19.wav;t;1425 
1;Bach_old_2.wav;r;1267 
1;Bach_new_4.wav;r;1418 
1;Bach_old_3.wav;r;1396 
1;Bach_old_1.wav;r;1436 
1;Bach_new_9.wav;t;1291 
1;Bach_old_2.wav;r;1723 
1;Bach_old_1.wav;r;1579 
1;Bach_new_6.wav;t;1324 
1;Bach_old_1.wav;r;1402 
1;Bach_old_2.wav;r;1337 
1;Bach_old_2.wav;r;1459 
1;Bach_old_2.wav;r;1347 
