subject,block,time,melID,trialID,prime,target,type,response,rt
,invert,0.508303044247441,2,58,3;2;1,3;2;1,2,2,1416.6816486249445
,invert,8.550212658723467,1,29,1;2;3,3;2;1,1,1,1635.5988851282746
,invert,16.7331297974888,2,6,3;2;1,1;2;3,1,1,1743.323121292633
,invert,25.021649872898706,2,12,3;2;1,1;2;3,1,1,1558.392626029672
,invert,33.149262978782644,1,51,1;2;3,1;2;3,2,2,1862.7278154308442
,invert,41.55163196382637,1,1,1;2;3,3;2;1,1,1,1713.577155765961
,invert,49.81373808569333,1,31,1;2;3,3;1;2,2,2,1499.6712478023255
,invert,57.86155429953942,2,28,3;2;1,1;2;3,1,1,1627.3642169544473
,invert,66.10238725513045,1,33,1;2;3,3;1;2,2,2,1334.7076621721499
,invert,74.13775318751868,1,39,1;2;3,3;1;2,2,2,1784.5788780978182
,invert,82.46957155001292,1,25,1;2;3,3;2;1,1,1,2029.9392419401556
,invert,91.06237029057229,1,59,1;2;3,1;2;3,2,2,1555.300203821389
,invert,99.16660169420356,1,21,1;2;3,3;2;1,1,0,2500.009299139492
,invert,108.21230572531931,2,40,3;2;1,1;3;2,2,2,1548.7371940689627
,invert,116.30350081887445,2,20,3;2;1,1;2;3,1,1,1844.1506724338979
,invert,124.69312559647369,2,26,3;2;1,1;2;3,1,1,1504.6840350405546
,invert,132.75194033083972,1,55,1;2;3,1;2;3,2,2,1873.8470425159903
,invert,141.1692834952555,2,46,3;2;1,3;2;1,2,2,1417.2844521526713
,invert,149.2200302167621,1,53,1;2;3,1;2;3,2,2,1837.5967795000179
,invert,157.61035151869874,2,10,3;2;1,1;2;3,1,1,1530.6137035950087
,invert,165.68163367414672,2,44,3;2;1,1;3;2,2,2,1674.9484991451027
,invert,173.90316305926535,1,41,1;2;3,3;1;2,2,2,1654.119139217073
,invert,182.09333863810753,1,5,1;2;3,3;2;1,1,1,1665.4491469671484
,invert,190.30182332568802,2,24,3;2;1,1;2;3,1,1,1467.7664214686956
,invert,198.35287928942125,2,54,3;2;1,3;2;1,2,2,2046.006709249923
,invert,206.94412525476946,1,27,1;2;3,3;2;1,1,1,1586.3972807128448
,invert,215.07855153569835,1,15,1;2;3,3;2;1,1,1,2104.4130105001386
,invert,223.7267987194209,1,49,1;2;3,1;2;3,2,2,1609.8555641947314
,invert,231.87804952762963,2,52,3;2;1,3;2;1,2,2,1399.6022153150989
,invert,239.9318872126605,2,48,3;2;1,3;2;1,2,2,1816.7189181549475
,invert,269.39430316021026,1,45,1;2;3,3;1;2,2,2,1762.607364114956
,invert,277.7090202090476,2,32,3;2;1,1;3;2,2,2,1818.2202745520044
,invert,286.0770301223092,2,50,3;2;1,3;2;1,2,2,1838.714865181828
,invert,294.46638030155736,2,36,3;2;1,1;3;2,2,0,2500.012216522009
,invert,303.52001705208386,1,37,1;2;3,3;1;2,2,2,1449.4460078713018
,invert,311.564183988914,1,19,1;2;3,3;2;1,1,1,1526.0709791182308
,invert,319.63955776904186,1,7,1;2;3,3;2;1,1,1,1483.8769201451214
,invert,327.6922864852095,1,3,1;2;3,3;2;1,1,1,1433.7275320722256
,invert,335.7357000087941,1,17,1;2;3,3;2;1,1,1,1416.7082697094884
,invert,343.7831482681504,1,57,1;2;3,1;2;3,2,2,1604.202776827151
,invert,351.9332696858328,2,38,3;2;1,1;3;2,2,2,1641.6258263925556
,invert,360.1181188591436,2,18,3;2;1,1;2;3,1,1,1670.239119353937
,invert,368.32569077164226,2,16,3;2;1,1;2;3,1,1,2057.2043409047183
,invert,376.9270261291531,2,56,3;2;1,3;2;1,2,2,1740.948739083251
,invert,385.2056329491752,2,4,3;2;1,1;2;3,1,1,1581.3998097146396
,invert,393.3264485609543,2,30,3;2;1,1;2;3,1,1,1707.8211660991656
,invert,401.5835043343104,2,42,3;2;1,1;3;2,2,1,1925.88288107072
,invert,410.0477914161165,1,35,1;2;3,3;1;2,2,2,1366.1482604802586
,invert,418.1027894888248,1,13,1;2;3,3;2;1,1,0,2500.010393167031
,invert,427.14508346805815,2,2,3;2;1,1;2;3,1,1,1530.0247576087713
,invert,435.2208113451052,2,14,3;2;1,1;2;3,1,1,1930.2254003850976
,invert,443.70362743314763,1,43,1;2;3,3;1;2,2,3,1484.2842592479428
,invert,451.7552741662075,2,34,3;2;1,1;3;2,2,2,1524.2990357801318
,invert,459.82120147167007,1,11,1;2;3,3;2;1,1,2,2108.958287673886
,invert,468.46964120244957,1,47,1;2;3,1;2;3,2,2,1482.8536492859712
,invert,476.5051566505135,2,8,3;2;1,1;2;3,1,1,1528.8129511318402
,invert,484.58222360473883,1,23,1;2;3,3;2;1,1,1,1625.0919430458453
,invert,492.75862149444583,1,9,1;2;3,3;2;1,1,1,1574.0578596596606
,invert,500.8708549052244,2,22,3;2;1,1;2;3,1,1,2213.073725462891
,invert,509.6218602159497,2,60,3;2;1,3;2;1,2,2,1690.6728096946608
