subject,block,time,melID,trialID,prime,target,type,response,rt
,invert,0.5072766710363794,2,18,3;2;1,1;2;3,1,1,1416.5680835722014
,invert,8.553964936028933,2,10,3;2;1,1;2;3,1,1,1333.8779106270522
,invert,16.600208665477112,2,42,3;2;1,1;3;2,2,2,1132.9638960014563
,invert,24.646757260983577,2,28,3;2;1,1;2;3,1,1,1483.2746697065886
,invert,32.692796409275616,2,46,3;2;1,3;2;1,2,2,1875.289002811769
,invert,41.11549208150245,2,14,3;2;1,1;2;3,1,1,1416.2183628650382
,invert,49.152244485070696,1,19,1;2;3,3;2;1,1,1,2096.703070710646
,invert,57.79643080633832,1,13,1;2;3,3;2;1,1,1,1366.71738041332
,invert,65.84483704253216,2,60,3;2;1,3;2;1,2,2,1483.9544188580476
,invert,73.89073834469309,1,31,1;2;3,3;1;2,2,2,1512.4889322032686
,invert,81.95067369559547,1,35,1;2;3,3;1;2,2,2,1399.6316080447286
,invert,90.00134855814395,2,52,3;2;1,3;2;1,2,2,1536.598511855118
,invert,98.0846634147747,2,4,3;2;1,1;2;3,1,1,1416.424402705161
,invert,106.12686839851085,1,45,1;2;3,3;1;2,2,2,1366.7122750193812
,invert,114.17317120489315,1,41,1;2;3,3;1;2,2,2,1516.2432334909681
,invert,122.23540800265619,2,34,3;2;1,1;3;2,2,2,1500.856979895616
,invert,130.28418438122026,1,21,1;2;3,3;2;1,1,1,1499.0824845153838
,invert,138.32901391151245,2,26,3;2;1,1;2;3,1,1,1449.535553372698
,invert,146.3746610370872,2,54,3;2;1,3;2;1,2,2,1350.2950928232167
,invert,154.4220749999513,1,39,1;2;3,3;1;2,2,2,1467.0299775025342
,invert,162.4677093620121,1,5,1;2;3,3;2;1,1,1,1316.268979368033
,invert,170.51356726817903,2,48,3;2;1,3;2;1,2,2,1499.6911225607619
,invert,178.56087401739205,1,23,1;2;3,3;2;1,1,1,1433.221208746545
,invert,186.60657985520083,2,40,3;2;1,1;3;2,2,2,1449.8790746438317
,invert,194.65412035936606,1,1,1;2;3,3;2;1,1,1,1820.1436225499492
,invert,203.02014121570392,2,8,3;2;1,1;2;3,1,1,2320.6957364163827
,invert,211.88452287006658,1,55,1;2;3,1;2;3,2,2,1349.9369846249465
,invert,219.9245555009402,1,57,1;2;3,1;2;3,2,2,2068.263372173533
,invert,228.54019527471974,1,53,1;2;3,1;2;3,2,2,1499.870906030992
,invert,236.58485814975575,2,6,3;2;1,1;2;3,1,1,1640.6847378821112
,invert,250.19961942799273,2,2,3;2;1,1;2;3,1,1,1925.8938482962549
,invert,258.683752900979,1,49,1;2;3,1;2;3,2,2,1483.5160827788059
,invert,266.720304005401,1,3,1;2;3,3;2;1,1,1,1528.8258864893578
,invert,274.796000493021,1,29,1;2;3,3;2;1,1,1,1233.285609894665
,invert,282.84664180575055,2,50,3;2;1,3;2;1,2,2,1570.621707913233
,invert,290.96327494687284,2,24,3;2;1,1;2;3,1,1,1349.5748650457244
,invert,299.00551092776004,1,27,1;2;3,3;2;1,1,1,1299.7504182858393
,invert,307.05190745490836,2,38,3;2;1,1;3;2,2,2,1316.4276118041016
,invert,315.09892903038417,2,16,3;2;1,1;2;3,1,1,1434.1489350772463
,invert,323.14449629274895,1,17,1;2;3,3;2;1,1,1,1600.1379190711305
,invert,331.29182317186496,2,56,3;2;1,3;2;1,2,2,1813.319874490844
,invert,339.6523568041157,2,36,3;2;1,1;3;2,2,2,1882.9460270353593
,invert,348.083862594387,1,33,1;2;3,3;1;2,2,1,2101.6582378942985
,invert,356.7318021229876,1,11,1;2;3,3;2;1,1,1,1687.4670883116778
,invert,364.96339419469587,2,22,3;2;1,1;2;3,1,1,1905.7300228741951
,invert,373.4119914462499,1,9,1;2;3,3;2;1,1,1,1466.7998692893889
,invert,381.4512783222599,1,7,1;2;3,3;2;1,1,1,1565.0845237250905
,invert,389.5638522960362,1,51,1;2;3,1;2;3,2,2,1250.7154870545492
,invert,397.6111685267242,2,32,3;2;1,1;3;2,2,2,1451.104373583803
,invert,405.65759750973666,2,58,3;2;1,3;2;1,2,2,2055.5231807520613
,invert,414.2606663000479,1,47,1;2;3,1;2;3,2,2,1770.4201900050975
,invert,422.5724191776826,1,15,1;2;3,3;2;1,1,1,1398.45298716682
,invert,430.613469244272,2,30,3;2;1,1;2;3,1,1,1644.3781389098149
,invert,438.80381760842283,2,44,3;2;1,1;3;2,2,2,1250.0678290380165
,invert,446.8555511146551,1,37,1;2;3,3;1;2,2,2,1484.3077863333747
,invert,454.90179885551333,1,43,1;2;3,3;1;2,2,2,1466.6084163472988
,invert,462.9481975706876,2,20,3;2;1,1;2;3,1,1,1401.8367814423982
,invert,470.9968623595487,1,25,1;2;3,3;2;1,1,1,1974.2147511569783
,invert,479.5160568859719,1,59,1;2;3,1;2;3,2,2,1549.0582702623215
,invert,487.6221732426784,2,12,3;2;1,1;2;3,1,1,1868.5925253957976
