subject,block,time,melID,trialID,prime,target,type,response,rt
,invert,0.5079658999966341,1,13,1;2;3,3;2;1,1,0,3500.0032000025385
,invert,10.599736099997244,2,10,3;2;1,1;2;3,1,0,3500.016300000425
,invert,20.6963390000019,1,35,1;2;3,3;1;2,2,0,3500.0135000009323
,invert,30.78938090000156,1,17,1;2;3,3;2;1,1,0,3500.0233000027947
,invert,40.886634700000286,2,4,3;2;1,1;2;3,1,0,3500.008399998478
,invert,50.981997599999886,2,22,3;2;1,1;2;3,1,0,3500.517699998454
,invert,61.10955719999765,2,2,3;2;1,1;2;3,1,0,3506.5380000014557
,invert,71.26657700000214,1,37,1;2;3,1;2;3,2,0,3500.009499999578
,invert,81.35364370000025,1,3,1;2;3,3;2;1,1,0,3500.0053999974625
,invert,91.44617060000019,2,18,3;2;1,1;2;3,1,0,3500.0102999983937
,invert,101.54005979999783,1,47,1;2;3,1;2;3,2,0,3500.0148999970406
,invert,111.63701530000253,2,40,3;2;1,3;2;1,2,0,3500.0126999948407
,invert,121.732791800001,2,6,3;2;1,1;2;3,1,0,3500.0083000049926
,invert,131.82785290000174,2,46,3;2;1,3;2;1,2,0,3500.0061000027927
,invert,141.92352089999622,2,44,3;2;1,3;2;1,2,0,3500.0078000011854
,invert,152.01957989999937,2,12,3;2;1,1;2;3,1,1,1350.3541000027326
,invert,160.112632700002,1,43,1;2;3,1;2;3,2,2,1282.8769000043394
,invert,168.2094827999972,2,34,3;2;1,1;3;2,2,2,1267.3098000013852
,invert,176.30626369999663,2,38,3;2;1,3;2;1,2,2,1722.6960000043618
,invert,184.67569959999673,1,5,1;2;3,3;2;1,1,0,3500.0050000016927
,invert,194.76620199999888,2,36,3;2;1,1;3;2,2,2,1825.7805000030203
,invert,203.18761310000264,2,8,3;2;1,1;2;3,1,1,1837.3721999960253
,invert,211.61061979999795,1,27,1;2;3,3;1;2,2,0,3500.0033999967854
,invert,221.70350429999962,2,32,3;2;1,1;3;2,2,2,1888.2014999981038
,invert,230.18696030000137,1,15,1;2;3,3;2;1,1,1,1333.318999997573
,invert,238.2779045999996,1,21,1;2;3,3;2;1,1,2,1366.917100000137
,invert,246.374115300001,2,14,3;2;1,1;2;3,1,1,1592.3944000023766
,invert,254.5640751000028,1,45,1;2;3,1;2;3,2,2,1820.1951000010013
,invert,262.970510799998,1,29,1;2;3,3;1;2,2,2,1911.2192000029609
,invert,271.4751649000027,1,31,1;2;3,3;1;2,2,0,3500.015700003132
,invert,283.11894649999886,2,48,3;2;1,3;2;1,2,2,1134.3256999971345
,invert,291.2035268999971,2,30,3;2;1,1;3;2,2,0,3500.002900000254
,invert,301.30067679999775,1,11,1;2;3,3;2;1,1,2,868.7052000022959
,invert,309.3950823999985,2,24,3;2;1,1;2;3,1,2,400.58220000355504
,invert,317.5083814999962,1,33,1;2;3,3;1;2,2,2,3177.5520000010147
,invert,327.28396229999635,2,42,3;2;1,3;2;1,2,0,3500.0102999983937
,invert,337.36747209999885,1,25,1;2;3,3;1;2,2,0,3500.0102000049083
,invert,347.46329620000324,2,28,3;2;1,1;3;2,2,0,3502.434699999867
,invert,357.59132919999684,1,39,1;2;3,1;2;3,2,0,3500.012799995602
,invert,367.7759376999966,1,1,1;2;3,3;2;1,1,2,2293.0796000000555
,invert,376.6586532000001,1,9,1;2;3,3;2;1,1,0,3500.0051999959396
,invert,386.7674937999982,2,20,3;2;1,1;2;3,1,0,3500.0158000038937
,invert,396.86558949999744,1,23,1;2;3,3;2;1,1,0,3500.0030000010156
,invert,407.0206249999974,1,7,1;2;3,3;2;1,1,0,3500.0119999967865
,invert,417.1201901000022,2,26,3;2;1,1;3;2,2,0,3500.0077999939094
,invert,427.2116967999973,1,19,1;2;3,3;2;1,1,0,3500.0138000032166
,invert,437.32862549999845,2,16,3;2;1,1;2;3,1,0,3500.020699997549
,invert,447.4396714999966,1,41,1;2;3,1;2;3,2,2,900.9576000025845
