subject,block,time,melID,trialID,prime,target,type,response,rt
,invert,0.5081099000017275,1,5,1;2;3,3;2;1,1,0,3500.0073999981396
,invert,10.599146100001235,1,47,1;2;3,1;2;3,2,0,3500.037500001781
,invert,20.693783499998972,1,27,1;2;3,3;1;2,2,0,3500.020699997549
,invert,30.791272900001786,1,33,1;2;3,3;1;2,2,0,3500.0081000034697
,invert,40.885562700001174,1,43,1;2;3,1;2;3,2,0,3500.0053999974625
,invert,50.981310800001665,2,34,3;2;1,1;3;2,2,0,3500.0068999943323
,invert,61.077011300003505,1,31,1;2;3,3;1;2,2,0,3500.011500000255
,invert,71.17200869999942,2,30,3;2;1,1;3;2,2,0,3500.0155000016093
,invert,81.26924519999739,1,39,1;2;3,1;2;3,2,0,3500.0156999958563
,invert,91.36294440000347,2,10,3;2;1,1;2;3,1,0,3500.0075999996625
,invert,101.457974500001,1,19,1;2;3,3;2;1,1,0,3500.0109000029624
,invert,111.55310940000345,2,44,3;2;1,3;2;1,2,0,3500.0037999998312
,invert,121.64999749999697,1,13,1;2;3,3;2;1,1,0,3500.011500000255
,invert,131.7438392999975,1,37,1;2;3,1;2;3,2,0,3500.0120000040624
,invert,141.84011170000304,1,25,1;2;3,3;1;2,2,0,3500.03079999442
,invert,151.9361512999967,1,41,1;2;3,1;2;3,2,0,3500.0031999952625
,invert,162.03218149999884,2,6,3;2;1,1;2;3,1,0,3500.015199999325
,invert,172.12763350000023,2,42,3;2;1,3;2;1,2,0,3500.0109000029624
,invert,182.22123049999936,2,18,3;2;1,1;2;3,1,0,3500.0288000010187
,invert,192.31756450000103,1,21,1;2;3,3;2;1,1,0,3500.0698000003467
,invert,202.41242529999727,1,15,1;2;3,3;2;1,1,0,3500.016500001948
,invert,212.50892349999776,2,38,3;2;1,3;2;1,2,0,3500.0046999994083
,invert,222.60350650000328,2,24,3;2;1,1;2;3,1,0,3500.0221000009333
,invert,232.70073520000005,2,32,3;2;1,1;3;2,2,0,3500.008199996955
,invert,341.9264043000003,2,2,3;2;1,1;2;3,1,0,3500.0061000027927
,invert,352.0103611000013,2,26,3;2;1,1;3;2,2,0,3500.040300001274
,invert,362.1061249999984,1,23,1;2;3,3;2;1,1,0,3500.005699999747
,invert,372.2048348000026,2,4,3;2;1,1;2;3,1,0,3500.03330000618
,invert,382.29696420000255,2,22,3;2;1,1;2;3,1,0,3500.009000003047
,invert,392.39364509999723,1,7,1;2;3,3;2;1,1,0,3500.0147000027937
,invert,402.48913139999786,1,1,1;2;3,3;2;1,1,0,3500.0089000022854
,invert,412.58402979999664,1,11,1;2;3,3;2;1,1,0,3500.004599998647
,invert,422.68137900000147,2,16,3;2;1,1;2;3,1,0,3500.0196999972104
,invert,432.77704300000187,2,46,3;2;1,3;2;1,2,0,3500.0113999994937
,invert,442.92375750000065,1,9,1;2;3,3;2;1,1,0,3500.0033000033
,invert,453.01460770000267,2,28,3;2;1,1;3;2,2,0,3500.0061000027927
,invert,463.1109385000018,2,40,3;2;1,3;2;1,2,0,3500.0098000018625
,invert,473.2055837000007,1,17,1;2;3,3;2;1,1,0,3500.005699999747
,invert,483.30148819999886,2,36,3;2;1,1;3;2,2,0,3500.0254000042332
,invert,493.39985629999865,2,14,3;2;1,1;2;3,1,0,3500.0157999966177
,invert,503.493029199999,2,8,3;2;1,1;2;3,1,0,3500.0098000018625
,invert,513.5873176000023,2,20,3;2;1,1;2;3,1,0,3500.0345000007655
,invert,523.6826608999982,1,3,1;2;3,3;2;1,1,0,3500.016500001948
,invert,533.7805498000016,2,12,3;2;1,1;2;3,1,0,3500.0132999994094
,invert,543.8734209999966,1,29,1;2;3,3;1;2,2,0,3500.017200000002
,invert,553.9689206999974,1,35,1;2;3,3;1;2,2,0,3500.017400001525
,invert,564.0645633000022,2,48,3;2;1,3;2;1,2,0,3500.0150999985635
,invert,574.1597697000034,1,45,1;2;3,1;2;3,2,0,3500.0347000022884
