subject,block,time,melID,trialID,prime,target,type,response,rt
,recognize,0.5305706722429022,2,30,3;2;1,3;2;1,1,1,1652.7169737237273
,recognize,8.727989010236342,1,31,1;2;3,3;2;1,2,2,1769.0266929275822
,recognize,17.04165434378956,2,60,3;2;1,3;1;2,2,2,1616.15345707105
,recognize,25.20244935885421,1,37,1;2;3,3;2;1,2,2,1508.73335772485
,recognize,33.25739491873537,2,10,3;2;1,3;2;1,1,1,1741.9650811643805
,recognize,41.54972655038,2,36,3;2;1,1;2;3,2,2,1367.5672009267146
,recognize,49.59168138424866,1,53,1;2;3,1;3;2,2,2,1536.2588328280253
,recognize,57.67406161579129,1,21,1;2;3,1;2;3,1,1,1600.3055225737626
,recognize,65.8182516363886,2,12,3;2;1,3;2;1,1,1,1333.592129201861
,recognize,73.85851366081624,1,5,1;2;3,1;2;3,1,1,1448.8435690291226
,recognize,81.90461007948034,1,49,1;2;3,1;3;2,2,2,1576.7360139871016
,recognize,90.0305584557209,1,45,1;2;3,3;2;1,2,2,1512.0905321236933
,recognize,98.10012482738239,2,16,3;2;1,3;2;1,1,1,1528.8475950073916
,recognize,106.1747134677571,2,4,3;2;1,3;2;1,1,1,1584.5075481774984
,recognize,114.31014733860502,1,39,1;2;3,3;2;1,2,2,1551.8839524884243
,recognize,122.40528162376722,1,13,1;2;3,1;2;3,1,1,1822.9905546177179
,recognize,130.7748596284655,1,19,1;2;3,1;2;3,1,1,1612.2572968160966
,recognize,138.92594378137437,2,48,3;2;1,3;1;2,2,2,1713.395548882545
,recognize,147.19167985262175,2,34,3;2;1,1;2;3,2,2,1522.2368131799158
,recognize,155.26308964341297,1,11,1;2;3,1;2;3,1,2,1538.9311524049845
,recognize,163.34224398263905,2,8,3;2;1,3;2;1,1,1,1787.8423316869885
,recognize,171.67040176327282,1,15,1;2;3,1;2;3,1,1,1722.3763368383516
,recognize,179.93425211338035,2,18,3;2;1,3;2;1,1,1,1635.4077967698686
,recognize,188.11107594048372,2,2,3;2;1,3;2;1,1,1,1503.0882284918334
,recognize,196.15909673557326,2,46,3;2;1,3;1;2,2,2,1529.374181991443
,recognize,204.22940339226625,1,59,1;2;3,1;3;2,2,2,1449.8274552315706
,recognize,212.28242858711747,1,51,1;2;3,1;3;2,2,2,1539.8187650862383
,recognize,220.37473410821985,1,27,1;2;3,1;2;3,1,1,1850.7020126562566
,recognize,228.77421306424367,1,29,1;2;3,1;2;3,1,1,1678.6295026540756
,recognize,237.00195282087952,2,38,3;2;1,1;2;3,2,2,1568.7887076928746
,recognize,266.5226612918923,2,56,3;2;1,3;1;2,2,2,1418.4269708784996
,recognize,274.5685359897034,2,54,3;2;1,3;1;2,2,2,1498.462723364355
,recognize,282.615617023941,2,32,3;2;1,1;2;3,2,2,1532.5690771715017
,recognize,290.69385567067366,2,28,3;2;1,3;2;1,1,1,1483.803620983963
,recognize,298.74096223198285,1,47,1;2;3,1;3;2,2,2,1574.5242756966036
,recognize,306.8659241692949,1,33,1;2;3,3;2;1,2,2,1500.06436467811
,recognize,314.9186970108276,1,23,1;2;3,1;2;3,1,1,1573.8532784307608
,recognize,323.04038528371893,2,6,3;2;1,3;2;1,1,1,1621.2800221110228
,recognize,331.1980349990772,1,41,1;2;3,3;2;1,2,2,2026.6579193994403
,recognize,339.7654007549572,2,14,3;2;1,3;2;1,1,1,2111.3461627537617
,recognize,348.4302682494017,2,22,3;2;1,3;2;1,1,1,2472.44881548977
,recognize,357.4542717181612,1,57,1;2;3,1;3;2,2,2,1563.2507921691285
,recognize,365.5609329341969,1,35,1;2;3,3;2;1,2,2,1530.369373067515
,recognize,373.63734785410634,1,25,1;2;3,1;2;3,1,1,1484.3451595370425
,recognize,381.6867766494397,1,7,1;2;3,1;2;3,1,1,1860.4052167211194
,recognize,390.09618855315784,2,24,3;2;1,3;2;1,1,1,1466.1800963949645
,recognize,398.1491893149505,2,20,3;2;1,3;2;1,1,1,1873.4743473032722
,recognize,406.56605001774733,1,55,1;2;3,1;3;2,2,2,1620.9452528273687
,recognize,414.7259946167178,2,58,3;2;1,3;1;2,2,2,1609.6553590177791
,recognize,422.87822055899596,2,40,3;2;1,1;2;3,2,2,1583.4820892923744
,recognize,430.9983279769076,1,1,1;2;3,1;2;3,1,1,1548.6514960502973
,recognize,439.0947623192769,2,26,3;2;1,3;2;1,1,1,1572.9226343828486
,recognize,447.21609284852457,2,52,3;2;1,3;1;2,2,2,1540.347904781811
,recognize,455.2944915864646,1,3,1;2;3,1;2;3,1,1,1589.3664436443942
,recognize,463.4342442729103,2,50,3;2;1,3;1;2,2,1,1882.2768104437273
,recognize,471.86580638009764,1,43,1;2;3,3;2;1,2,1,2109.031222164049
,recognize,480.519122875281,2,44,3;2;1,1;2;3,2,0,2500.0060171005316
,recognize,489.57332596209017,2,42,3;2;1,1;2;3,2,2,1514.0134498506086
,recognize,497.6346139048983,1,9,1;2;3,1;2;3,1,1,2000.7771169475745
,recognize,506.1819172069663,1,17,1;2;3,1;2;3,1,1,1670.888965629274
