subject,block,time,melID,trialID,prime,target,type,response,rt
,recognize,0.5238543000014033,1,39,1;2;3,1;3;2,2,2,1083.8017000060063
,recognize,8.625162500000442,1,7,1;2;3,1;2;3,1,1,1415.8192000031704
,recognize,16.720184400001017,2,34,3;2;1,1;2;3,2,2,1334.168099994713
,recognize,24.81400030000077,2,48,3;2;1,3;1;2,2,2,1433.8791000045603
,recognize,32.91359889999876,2,22,3;2;1,3;2;1,1,1,1607.857299997704
,recognize,41.11918899999728,2,40,3;2;1,3;1;2,2,2,1217.5897000051918
,recognize,49.20643369999743,1,29,1;2;3,3;2;1,2,2,1466.7322000022978
,recognize,57.29950539999845,2,16,3;2;1,3;2;1,1,1,1539.3506999971578
,recognize,65.4391936999964,1,43,1;2;3,1;3;2,2,2,1301.0674999968614
,recognize,73.52970389999973,1,3,1;2;3,1;2;3,1,1,1696.5566000071703
,recognize,81.81862130000081,1,33,1;2;3,3;2;1,2,2,1232.9150999939884
,recognize,89.90233759999683,1,41,1;2;3,1;3;2,2,2,1216.9060000014724
,recognize,97.99773519999871,1,13,1;2;3,1;2;3,1,2,1433.358700000099
,recognize,106.09577909999643,2,18,3;2;1,3;2;1,1,1,1283.3401000025333
,recognize,114.19057459999749,1,11,1;2;3,1;2;3,1,1,1469.1442000039387
,recognize,122.2885038999957,1,9,1;2;3,1;2;3,1,1,1249.7627000047942
,recognize,130.38403819999803,1,5,1;2;3,1;2;3,1,1,1284.0783999999985
,recognize,138.4787692999962,1,25,1;2;3,3;2;1,2,2,1958.3335999996052
,recognize,147.0352933999966,2,12,3;2;1,3;2;1,1,1,1651.8980999971973
,recognize,155.2748797999957,2,2,3;2;1,3;2;1,1,1,1638.2764000009047
,recognize,163.5076323999965,2,30,3;2;1,1;2;3,2,2,833.41510000173
,recognize,171.59873369999696,2,32,3;2;1,1;2;3,2,2,1333.0942000029609
,recognize,179.69382159999805,2,20,3;2;1,3;2;1,1,1,1283.7160999988555
,recognize,187.79046940000262,1,27,1;2;3,3;2;1,2,2,1333.8865999976406
,recognize,195.88586270000087,1,31,1;2;3,3;2;1,2,2,1483.1829000031576
,recognize,203.9826733000009,2,4,3;2;1,3;2;1,1,2,1647.0292000012705
,recognize,212.2279819999967,1,45,1;2;3,1;3;2,2,2,1887.5561999957426
,recognize,220.73138610000024,2,8,3;2;1,3;2;1,1,2,2440.136099998199
,recognize,229.76299930000096,1,17,1;2;3,1;2;3,1,1,2980.047099998046
,recognize,239.33107949999976,1,23,1;2;3,1;2;3,1,1,2839.987799998198
,recognize,250.83152179999888,1,35,1;2;3,3;2;1,2,2,1333.5083999991184
,recognize,258.9258231999993,2,26,3;2;1,1;2;3,2,2,1576.767699996708
,recognize,267.0992273000011,2,44,3;2;1,3;1;2,2,2,1400.454599999648
,recognize,275.18388050000067,2,6,3;2;1,3;2;1,1,1,1417.075700002897
,recognize,283.2808268000008,2,10,3;2;1,3;2;1,1,1,1605.461600003764
,recognize,291.48299309999857,1,37,1;2;3,1;3;2,2,2,1299.5503000056488
,recognize,299.5722749999986,2,24,3;2;1,3;2;1,1,1,1233.486000004632
,recognize,307.6696681999965,2,46,3;2;1,3;1;2,2,2,1284.409500003676
,recognize,315.7661106000014,2,14,3;2;1,3;2;1,1,1,1367.5651000012294
,recognize,323.86184449999564,2,36,3;2;1,1;2;3,2,2,1855.893300002208
,recognize,332.3146474999958,1,15,1;2;3,1;2;3,1,1,2194.1697000002023
,recognize,341.10007680000126,1,47,1;2;3,1;3;2,2,2,1316.594999996596
,recognize,349.18391939999856,1,21,1;2;3,1;2;3,1,1,1401.0063000023365
,recognize,357.279394600002,2,38,3;2;1,3;1;2,2,2,984.6795999983442
,recognize,365.3773072999975,1,1,1;2;3,1;2;3,1,2,1498.831799995969
,recognize,373.47369349999644,2,42,3;2;1,3;1;2,2,2,1217.9466000015964
,recognize,381.5687109999999,2,28,3;2;1,1;2;3,2,2,1449.8300000050222
,recognize,389.66400129999965,1,19,1;2;3,1;2;3,1,1,1383.430000001681
