subject,block,time,melID,trialID,prime,target,type,response,rt
,recognize,0.5310958999980357,2,22,3;2;1,3;2;1,1,0,3500.011500000255
,recognize,10.63037240000267,2,10,3;2;1,3;2;1,1,0,3500.010600000678
,recognize,20.72437450000143,2,4,3;2;1,3;2;1,1,0,3500.006999995094
,recognize,30.81771010000375,1,27,1;2;3,3;2;1,2,0,3500.0378000040655
,recognize,40.9147346000027,2,18,3;2;1,3;2;1,1,0,3500.005699999747
,recognize,51.009974699998565,1,39,1;2;3,1;3;2,2,0,3500.006200003554
,recognize,61.11028280000028,2,34,3;2;1,1;2;3,2,0,3500.0293999983114
,recognize,71.19935670000268,1,11,1;2;3,1;2;3,1,0,3500.011900003301
,recognize,81.30045560000144,1,5,1;2;3,1;2;3,1,0,3500.0075999996625
,recognize,91.39284529999713,2,42,3;2;1,3;1;2,2,0,3500.0063000043156
,recognize,101.48721060000389,1,45,1;2;3,1;3;2,2,0,3500.0110999972094
,recognize,111.58071370000107,2,20,3;2;1,3;2;1,1,0,3500.003299996024
,recognize,121.67670470000303,2,36,3;2;1,1;2;3,2,0,3500.0074000054155
,recognize,131.77212280000094,1,23,1;2;3,1;2;3,1,0,3500.017900005332
,recognize,141.868988000002,1,31,1;2;3,3;2;1,2,0,3500.0113999994937
,recognize,151.9663212000014,2,46,3;2;1,3;1;2,2,0,3500.0088999950094
,recognize,162.05833800000255,2,32,3;2;1,1;2;3,2,0,3500.0174999950104
,recognize,172.15214910000213,2,6,3;2;1,3;2;1,1,0,3500.0168999977177
,recognize,182.24803699999757,1,25,1;2;3,3;2;1,2,0,3500.010600000678
,recognize,192.34433539999736,1,19,1;2;3,1;2;3,1,0,3500.0178999980562
,recognize,202.43989999999758,1,35,1;2;3,3;2;1,2,0,3500.0058000005083
,recognize,212.53485589999764,1,37,1;2;3,1;3;2,2,0,3500.015199999325
,recognize,222.63063829999737,1,9,1;2;3,1;2;3,1,0,3500.007300004654
,recognize,232.72966430000088,2,48,3;2;1,3;1;2,2,0,3500.0044000044
,recognize,673.9054376999993,2,16,3;2;1,3;2;1,1,0,3500.0330000038957
,recognize,684.0040433000031,2,30,3;2;1,1;2;3,2,0,3500.00480000017
,recognize,694.0985602000001,2,12,3;2;1,3;2;1,1,0,3500.0150999985635
,recognize,704.1964002000022,1,43,1;2;3,1;3;2,2,0,3500.0127000021166
,recognize,714.2936076999977,2,40,3;2;1,3;1;2,2,0,3500.0136000016937
,recognize,724.388091599998,2,2,3;2;1,3;2;1,1,0,3500.0308000016958
,recognize,734.4824845000039,1,1,1;2;3,1;2;3,1,0,3500.0170999992406
,recognize,744.578608900003,1,47,1;2;3,1;3;2,2,0,3500.023100001272
,recognize,754.6732903000011,1,17,1;2;3,1;2;3,1,0,3500.017200000002
,recognize,764.7718907000017,2,28,3;2;1,1;2;3,2,0,3500.0320999970427
,recognize,774.8650670999996,1,41,1;2;3,1;3;2,2,0,3500.0138000032166
,recognize,784.9577600999983,2,26,3;2;1,1;2;3,2,0,3500.016300000425
,recognize,795.055872900004,1,3,1;2;3,1;2;3,1,0,3500.0249999939115
,recognize,805.1482666000011,1,7,1;2;3,1;2;3,1,0,3500.018699996872
,recognize,815.2455769000007,1,21,1;2;3,1;2;3,1,0,3500.006999995094
,recognize,825.3409449000028,2,8,3;2;1,3;2;1,1,0,3500.0176999965333
,recognize,835.4353830000036,2,14,3;2;1,3;2;1,1,0,3500.0048999936553
,recognize,845.5297571999981,1,13,1;2;3,1;2;3,1,0,3500.0090999965323
,recognize,855.6267369999987,2,24,3;2;1,3;2;1,1,0,3500.0148999970406
,recognize,865.7217359999995,2,44,3;2;1,3;1;2,2,0,3500.005299996701
,recognize,875.8191153000007,2,38,3;2;1,3;1;2,2,0,3500.0182000003406
,recognize,885.9115181000016,1,15,1;2;3,1;2;3,1,0,3500.019799997972
,recognize,896.0071508000037,1,29,1;2;3,3;2;1,2,0,3500.013000004401
,recognize,906.1022452999969,1,33,1;2;3,3;2;1,2,0,3500.0131000051624
