subj;trial;response;RT;time 
afwaewfFE;Block3_old_1.wav;1;2662;89.67024469999888 
afwaewfFE;Block3_new_m3t1e6.wav;2;2076;94.84753020000062 
afwaewfFE;Block3_old_2.wav;1;1872;99.43996300000435 
afwaewfFE;Block3_new_m1t1e7.wav;2;1962;103.8260941999979 
afwaewfFE;Block3_old_3.wav;1;1887;108.3050665999981 
afwaewfFE;Block3_old_2.wav;1;2288;112.70949720000499 
afwaewfFE;Block3_new_m2t1e7.wav;2;1901;117.51527709999937 
afwaewfFE;Block3_new_m2t1e4.wav;2;1731;121.93004510000173 
afwaewfFE;Block3_old_3.wav;1;1970;126.24894800000038 
afwaewfFE;Block3_old_3.wav;1;1973;130.74147749999975 
afwaewfFE;Block3_old_2.wav;1;2090;135.2280982000011 
afwaewfFE;Block3_old_2.wav;1;2154;139.83164680000482 
afwaewfFE;Block3_new_m1t1e6.wav;1;2159;144.4994458000001 
afwaewfFE;Block3_old_1.wav;1;1798;149.17380129999947 
afwaewfFE;Block3_new_m1t1e3.wav;2;1887;153.48671070000273 
afwaewfFE;Block3_old_2.wav;1;1669;157.88715840000077 
afwaewfFE;Block3_old_3.wav;1;2077;162.20053700000426 
afwaewfFE;Block3_new_m2t1e1.wav;2;1941;166.79118279999966 
afwaewfFE;Block3_new_m2t1e8.wav;2;2198;171.2455220000047 
afwaewfFE;Block3_old_1.wav;1;1927;175.95576250000158 
afwaewfFE;Block3_new_m3t1e5.wav;2;1776;180.39431609999883 
afwaewfFE;Block3_new_m1t1e8.wav;2;2010;184.70700080000097 
afwaewfFE;Block3_new_m3t1e4.wav;2;2068;189.23058260000107 
afwaewfFE;Block3_old_3.wav;1;2118;193.81143870000233 
afwaewfFE;Block3_old_2.wav;0;3000;198.4417498000039 
afwaewfFE;Block3_new_m1t1e4.wav;2;1847;203.95471360000374 
afwaewfFE;Block3_old_1.wav;1;1670;208.31675890000042 
afwaewfFE;Block3_new_m3t1e2.wav;2;1377;212.63069099999848 
afwaewfFE;Block3_new_m1t1e2.wav;2;1806;216.94409140000062 
afwaewfFE;Block3_old_1.wav;1;1663;221.26304630000232 
afwaewfFE;Block3_old_3.wav;1;1875;225.57773889999953 
afwaewfFE;Block3_old_2.wav;1;1806;229.9658655000021 
afwaewfFE;Block3_new_m3t1e3.wav;2;1985;234.2857742000051 
afwaewfFE;Block3_old_1.wav;1;1932;238.785409600001 
afwaewfFE;Block3_new_m2t1e6.wav;2;1693;243.23049990000436 
afwaewfFE;Block3_new_m2t1e3.wav;0;3000;247.54654760000267 
afwaewfFE;Block3_new_m3t1e1.wav;2;1939;253.0595417000004 
afwaewfFE;Block3_old_2.wav;1;2143;257.51507680000213 
afwaewfFE;Block3_new_m1t1e5.wav;2;2438;262.1721663999997 
afwaewfFE;Block3_old_1.wav;1;1888;267.1248673000009 
afwaewfFE;Block3_old_3.wav;1;1886;271.5281815999988 
afwaewfFE;Block3_new_m3t1e8.wav;2;1754;275.93258159999823 
afwaewfFE;Block3_new_m1t1e1.wav;2;2288;280.244961299999 
afwaewfFE;Block3_old_1.wav;1;2318;285.0467484000037 
afwaewfFE;Block3_old_3.wav;1;2085;289.87904210000124 
afwaewfFE;Block3_new_m2t1e2.wav;2;2259;294.47640910000337 
afwaewfFE;Block3_new_m2t1e5.wav;2;2099;299.24998459999915 
afwaewfFE;Block3_new_m3t1e7.wav;2;1637;303.8630348000006 
