subject,block,time,melID,trialID,prime,target,type,response,rt
david,invert,0.5124550267355517,2,24,3;2;1,1;2;3,1,1,1655.7042447093409
david,invert,10.287473935022717,1,43,1;2;3,1;2;3,2,2,1003.1952610297594
david,invert,19.91525082543376,1,41,1;2;3,1;2;3,2,2,1036.8188007851131
david,invert,29.535319996532053,2,20,3;2;1,1;2;3,1,1,1328.093353251461
david,invert,39.15497599358787,1,19,1;2;3,3;2;1,1,1,1350.7661405892577
david,invert,48.77371082777972,2,46,3;2;1,3;2;1,2,2,1298.6650066741277
david,invert,58.39956771713332,2,12,3;2;1,1;2;3,1,1,1345.7770552486181
david,invert,68.01833427781821,1,15,1;2;3,3;2;1,1,1,1372.0258217363153
david,invert,77.64001493697288,1,27,1;2;3,3;1;2,2,2,1566.6202073916793
david,invert,87.32678199070506,1,21,1;2;3,3;2;1,1,1,1481.7616310319863
david,invert,96.9449676280201,2,26,3;2;1,1;3;2,2,2,1390.0184013764374
david,invert,106.5627966155298,2,18,3;2;1,1;2;3,1,1,1404.3496684753336
david,invert,116.1810125206539,1,45,1;2;3,1;2;3,2,2,1084.4957271183375
david,invert,125.79739849886391,2,2,3;2;1,1;2;3,1,1,1066.0535062197596
david,invert,135.4157548029034,1,9,1;2;3,3;2;1,1,2,1655.3993784764316
david,invert,145.18797886066022,1,23,1;2;3,3;2;1,1,1,1422.6533138134982
david,invert,154.8030924962659,1,47,1;2;3,1;2;3,2,2,1238.0750247975811
david,invert,164.42066183694988,2,30,3;2;1,1;3;2,2,2,1299.9497481214348
david,invert,174.03915781059186,2,38,3;2;1,3;2;1,2,2,1647.651909821434
david,invert,183.80481010404765,1,25,1;2;3,3;1;2,2,2,1396.324319357518
david,invert,193.42057796224253,2,4,3;2;1,1;2;3,1,1,1492.184702277882
david,invert,203.0378081574163,2,48,3;2;1,3;2;1,2,2,914.9714862578548
david,invert,212.65542964625638,1,7,1;2;3,3;2;1,1,1,1393.1461979518645
david,invert,222.27261571606505,2,6,3;2;1,1;2;3,1,1,1592.3062841175124
david,invert,249.58412813718314,2,8,3;2;1,1;2;3,1,1,1480.1526956725866
david,invert,259.20130326680373,1,1,1;2;3,3;2;1,1,1,1671.7403560469393
david,invert,268.9886659767071,2,22,3;2;1,1;2;3,1,1,1402.6688926387578
david,invert,278.61127655088785,2,34,3;2;1,1;3;2,2,2,1214.5448922819924
david,invert,288.2282365236897,2,40,3;2;1,3;2;1,2,2,1338.7662252062
david,invert,297.848578834557,1,35,1;2;3,3;1;2,2,2,1329.0385845466517
david,invert,307.46437550187693,1,17,1;2;3,3;2;1,1,1,1328.0572506773751
david,invert,317.0832839201903,1,5,1;2;3,3;2;1,1,2,1492.572713876143
david,invert,326.70062716386747,1,33,1;2;3,3;1;2,2,2,1235.216356581077
david,invert,336.3196854626003,2,42,3;2;1,3;2;1,2,2,1200.7230727758724
david,invert,345.9384458238783,1,13,1;2;3,3;2;1,1,1,1239.0169740538113
david,invert,355.55365536836325,2,14,3;2;1,1;2;3,1,1,1380.6831484253053
david,invert,365.17393422618625,1,29,1;2;3,3;1;2,2,2,1266.3105274259578
david,invert,374.79078406788176,1,3,1;2;3,3;2;1,1,1,1382.4091436399613
david,invert,384.4119775244908,1,39,1;2;3,1;2;3,2,2,1356.363499769941
david,invert,394.0302608940401,1,11,1;2;3,3;2;1,1,1,1522.9276934696827
david,invert,403.66823293533525,1,37,1;2;3,1;2;3,2,2,1395.3998744254932
david,invert,413.28689228228177,2,16,3;2;1,1;2;3,1,1,1303.8911291805562
david,invert,422.90598340154975,1,31,1;2;3,3;1;2,2,2,1366.9371807482094
david,invert,432.5229696307797,2,44,3;2;1,3;2;1,2,2,1431.5615352243185
david,invert,442.14193931411137,2,10,3;2;1,1;2;3,1,1,1460.8184856770094
david,invert,451.75824798172107,2,32,3;2;1,1;3;2,2,2,1323.4470601310022
david,invert,461.37464417074807,2,36,3;2;1,1;3;2,2,2,1360.099205514416
david,invert,470.99456564945285,2,28,3;2;1,1;3;2,2,2,1348.9081338921096
