subject,block,time,melID,trialID,prime,target,type,response,rt
david,recognize,0.5098727803269867,2,44,3;2;1,3;1;2,2,2,1497.359405970201
david,recognize,10.128833711496554,1,37,1;2;3,1;3;2,2,2,1551.2416006822605
david,recognize,19.79592376301298,2,46,3;2;1,3;1;2,2,2,1611.820277699735
david,recognize,29.524039944750257,2,16,3;2;1,3;2;1,1,1,1563.8625534484163
david,recognize,39.204599542106735,1,3,1;2;3,1;2;3,1,1,1547.5405388278887
david,recognize,48.86886556929676,2,32,3;2;1,1;2;3,2,2,1371.0302656400017
david,recognize,58.48627007793402,1,21,1;2;3,1;2;3,1,1,1945.1568930817302
david,recognize,68.54870894970372,2,20,3;2;1,3;2;1,1,1,1476.7805684823543
david,recognize,78.16604891134193,2,34,3;2;1,1;2;3,2,2,1370.7636899780482
david,recognize,87.78519691951806,1,31,1;2;3,3;2;1,2,2,1629.7650852357037
david,recognize,97.5325266046857,2,40,3;2;1,3;1;2,2,2,1332.8165923303459
david,recognize,107.14987167171785,2,38,3;2;1,3;1;2,2,2,1368.2164521305822
david,recognize,116.76989927011891,2,4,3;2;1,3;2;1,1,1,1742.2552664065734
david,recognize,126.62885705052759,2,18,3;2;1,3;2;1,1,1,1324.0928952291142
david,recognize,136.24598076133407,2,26,3;2;1,1;2;3,2,2,1257.684197917115
david,recognize,145.86475643882295,2,36,3;2;1,1;2;3,2,2,1511.6939551080577
david,recognize,155.49272259429563,1,1,1;2;3,1;2;3,1,1,1315.220411750488
david,recognize,165.11201756552327,1,23,1;2;3,1;2;3,1,1,1594.778399419738
david,recognize,174.82062814119854,1,33,1;2;3,3;2;1,2,2,1147.2555107611697
david,recognize,184.43893594379188,1,13,1;2;3,1;2;3,1,1,1394.5206488424446
david,recognize,194.0593964085565,1,35,1;2;3,3;2;1,2,2,1102.3705175612122
david,recognize,203.67507309859502,2,30,3;2;1,1;2;3,2,2,932.287233590614
david,recognize,213.2932291974139,1,15,1;2;3,1;2;3,1,1,1851.8871440610383
david,recognize,223.26426690237713,1,19,1;2;3,1;2;3,1,1,1489.5211338589434
david,recognize,255.72863656948903,1,29,1;2;3,3;2;1,2,2,991.3729411491659
david,recognize,265.3473535347148,1,7,1;2;3,1;2;3,1,1,1476.7324317072053
david,recognize,274.9662947735633,2,28,3;2;1,1;2;3,2,2,1960.9647194156423
david,recognize,285.04547868014197,1,25,1;2;3,3;2;1,2,2,1099.1595755913295
david,recognize,294.6656838741037,1,5,1;2;3,1;2;3,1,1,1453.9925446442794
david,recognize,304.28444387068157,1,27,1;2;3,3;2;1,2,2,1195.4849160392769
david,recognize,313.9026539410406,1,11,1;2;3,1;2;3,1,1,1433.3590062742587
david,recognize,323.52098763539107,2,12,3;2;1,3;2;1,1,1,1447.1301363082603
david,recognize,333.13870503313956,2,6,3;2;1,3;2;1,1,1,1284.129158273572
david,recognize,342.7583318563993,1,45,1;2;3,1;3;2,2,2,1384.6453158184886
david,recognize,352.38006612242316,2,2,3;2;1,3;2;1,1,1,1332.3242843616754
david,recognize,361.9965717132145,2,42,3;2;1,3;1;2,2,2,1427.1562906214967
david,recognize,371.61607637116686,1,47,1;2;3,1;3;2,2,2,1351.8218676617835
david,recognize,381.2353195589094,1,41,1;2;3,1;3;2,2,2,1286.5144815004896
david,recognize,390.851889332087,2,10,3;2;1,3;2;1,1,1,1340.8510582521558
david,recognize,400.4702532942465,2,48,3;2;1,3;1;2,2,2,1388.750799553236
david,recognize,410.0846302912978,2,8,3;2;1,3;2;1,1,1,1620.4907325736713
david,recognize,419.8205446311622,2,24,3;2;1,3;2;1,1,1,1316.1733011365868
david,recognize,429.4378590657143,1,43,1;2;3,1;3;2,2,2,1289.5996114239097
david,recognize,439.0561519167386,1,17,1;2;3,1;2;3,1,1,1439.8016764607746
david,recognize,448.6741399015009,1,39,1;2;3,1;3;2,2,2,1628.0478421249427
david,recognize,458.4202993524086,2,22,3;2;1,3;2;1,1,1,1437.5830086064525
david,recognize,468.037116008898,1,9,1;2;3,1;2;3,1,1,1435.7060389011167
david,recognize,477.65449571982026,2,14,3;2;1,3;2;1,1,1,1490.4127583140507
