subject,block,time,melID,trialID,prime,target,type,response,rt
david_trial,recognize,0.5152903448033612,1,23,1;2;3,1;2;3,1,1,1398.1061838276219
david_trial,recognize,10.132734152430203,2,10,3;2;1,3;2;1,1,1,1359.1952849237714
david_trial,recognize,19.747508558852132,2,36,3;2;1,1;2;3,2,2,1094.46799417492
david_trial,recognize,29.364689802459907,2,28,3;2;1,1;2;3,2,2,1267.3204754828475
david_trial,recognize,38.98400911974022,1,5,1;2;3,1;2;3,1,1,1538.5440385725815
david_trial,recognize,48.63736658464768,2,26,3;2;1,1;2;3,2,2,1494.2833970417269
david_trial,recognize,58.25583913284936,2,44,3;2;1,3;1;2,2,2,1289.9633431225084
david_trial,recognize,67.87431241039303,1,33,1;2;3,3;2;1,2,2,1360.0646636914462
david_trial,recognize,77.49213037180016,1,21,1;2;3,1;2;3,1,1,1120.6434424093459
david_trial,recognize,87.10745215136558,1,15,1;2;3,1;2;3,1,1,1320.3463803511113
david_trial,recognize,96.72042507660808,1,35,1;2;3,3;2;1,2,2,1647.917648224393
david_trial,recognize,106.48501488592592,1,45,1;2;3,1;3;2,2,2,1869.8801832797471
david_trial,recognize,116.46833951576264,1,1,1;2;3,1;2;3,1,1,1360.005951457424
david_trial,recognize,126.0803971135465,1,19,1;2;3,1;2;3,1,1,1515.884031279711
david_trial,recognize,135.70763018436264,1,29,1;2;3,3;2;1,2,2,1296.208356245188
david_trial,recognize,145.31952112691943,2,14,3;2;1,3;2;1,1,1,1514.8304930189624
david_trial,recognize,154.95070031669457,1,47,1;2;3,1;3;2,2,2,1316.702939424431
david_trial,recognize,164.56625256911502,2,12,3;2;1,3;2;1,1,1,1461.4049073425122
david_trial,recognize,174.18081108955084,1,27,1;2;3,3;2;1,2,2,1076.7901398357935
david_trial,recognize,183.79558039054973,2,16,3;2;1,3;2;1,1,1,1582.7014778042212
david_trial,recognize,193.49269707256462,2,6,3;2;1,3;2;1,1,1,1886.5125221200287
david_trial,recognize,203.49286117509473,2,46,3;2;1,3;1;2,2,2,1391.5344243287109
david_trial,recognize,213.1044071376673,1,31,1;2;3,3;2;1,2,2,1187.0148946763948
david_trial,recognize,222.71859952708473,1,39,1;2;3,1;3;2,2,2,1317.776899319142
david_trial,recognize,244.4883804465644,2,48,3;2;1,3;1;2,2,2,1266.2961109890603
david_trial,recognize,254.10198206687346,1,7,1;2;3,1;2;3,1,1,1331.3693298841827
david_trial,recognize,263.71808789187344,1,25,1;2;3,3;2;1,2,2,1690.542734490009
david_trial,recognize,273.5245741721592,2,22,3;2;1,3;2;1,1,1,1422.6993189367931
david_trial,recognize,283.1386899804056,2,32,3;2;1,1;2;3,2,2,1350.52702439134
david_trial,recognize,292.75441071143723,1,17,1;2;3,1;2;3,1,1,1825.5035759648308
david_trial,recognize,302.6941157936817,2,24,3;2;1,3;2;1,1,1,1388.9926584088244
david_trial,recognize,312.3069224283681,2,20,3;2;1,3;2;1,1,1,1375.7634414650965
david_trial,recognize,321.92145432770485,1,43,1;2;3,1;3;2,2,2,1329.8708914371673
david_trial,recognize,331.535066523531,2,4,3;2;1,3;2;1,1,1,1435.4081485362258
david_trial,recognize,341.1489730098692,1,37,1;2;3,1;3;2,2,2,1550.8495405665599
david_trial,recognize,350.812102598371,2,34,3;2;1,1;2;3,2,2,1453.885364549933
david_trial,recognize,360.4273700417252,1,3,1;2;3,1;2;3,1,1,1424.8702131444588
david_trial,recognize,370.03962091586436,2,18,3;2;1,3;2;1,1,1,1485.7540766824968
david_trial,recognize,379.65135577868205,1,11,1;2;3,1;2;3,1,1,2415.9857019258197
david_trial,recognize,390.1800948731543,2,8,3;2;1,3;2;1,1,1,1631.389605696313
david_trial,recognize,399.92427178588696,2,38,3;2;1,3;1;2,2,2,1956.6521332599223
david_trial,recognize,410.0004934016324,2,40,3;2;1,3;1;2,2,2,1411.352175695356
david_trial,recognize,419.613536708639,2,30,3;2;1,1;2;3,2,2,1634.705570875667
david_trial,recognize,429.36466135800583,2,42,3;2;1,3;1;2,2,2,1726.3900213874876
david_trial,recognize,439.2047923045466,1,9,1;2;3,1;2;3,1,1,1419.981780956732
david_trial,recognize,448.82090651697945,1,41,1;2;3,1;3;2,2,2,1548.2778715377208
david_trial,recognize,458.48509183179704,1,13,1;2;3,1;2;3,1,1,1391.2200767954346
david_trial,recognize,468.0979994806985,2,2,3;2;1,3;2;1,1,1,1393.01025311579
