subject,block,time,melID,trialID,type,prime,target,response,rt
leonardo,invert,24.441889062229166,1,41,2,1;2;3,3;1;2,2,2363.793338599862
leonardo,invert,35.46354040170809,2,22,1,3;2;1,1;2;3,0,2500.0328205305777
leonardo,invert,46.48339135273818,2,30,2,3;2;1,1;3;2,1,1923.975251860611
leonardo,invert,57.503499397925225,1,15,1,1;2;3,3;2;1,1,1633.4136342320562
leonardo,invert,68.52049751548566,2,42,2,3;2;1,1;3;2,1,1846.7554717299208
leonardo,invert,79.54120252966004,1,17,1,1;2;3,3;2;1,1,1609.9498721096097
leonardo,invert,90.56135324153729,1,25,2,1;2;3,3;1;2,2,1550.4473438350033
leonardo,invert,101.58132562853098,2,10,1,3;2;1,1;2;3,2,1601.6521125848158
leonardo,invert,112.6010102888713,2,36,2,3;2;1,1;3;2,1,1652.980870006104
leonardo,invert,123.62249351429818,1,39,2,1;2;3,3;1;2,2,1546.7032506185205
leonardo,invert,134.638318115547,2,40,2,3;2;1,1;3;2,1,1504.9850739515023
leonardo,invert,145.65682816555818,2,48,2,3;2;1,1;3;2,1,1592.1739079694817
leonardo,invert,156.67253461289602,2,44,2,3;2;1,1;3;2,1,1616.9836765266155
leonardo,invert,167.68985400698512,2,38,2,3;2;1,1;3;2,1,1700.8951982097642
leonardo,invert,178.70848184623446,1,23,1,1;2;3,3;2;1,1,1501.2650491253225
leonardo,invert,189.7237660027431,2,28,2,3;2;1,1;3;2,1,1747.852260932632
leonardo,invert,200.74094062182485,1,19,1,1;2;3,3;2;1,1,1824.8685537746496
leonardo,invert,211.76107091203812,2,16,1,3;2;1,1;2;3,1,1654.6437768984106
leonardo,invert,222.7772014735683,1,31,2,1;2;3,3;1;2,2,1735.0347496485483
leonardo,invert,233.79454347735646,2,6,1,3;2;1,1;2;3,2,1917.4983024495305
leonardo,invert,244.81104199350375,1,9,1,1;2;3,3;2;1,1,1707.3367743832932
leonardo,invert,255.82979272740795,1,21,1,1;2;3,3;2;1,1,1947.9138176620836
leonardo,invert,266.8447490432809,2,14,1,3;2;1,1;2;3,1,1978.2972416896882
leonardo,invert,277.8625155259342,2,2,1,3;2;1,1;2;3,1,1593.8856809862045
leonardo,invert,288.88336166839144,1,1,1,1;2;3,3;2;1,1,1686.028591788272
leonardo,invert,299.8974949182875,1,27,2,1;2;3,3;1;2,2,1853.9114414561482
leonardo,invert,310.9145732638117,1,7,1,1;2;3,3;2;1,1,1645.8245356079715
leonardo,invert,321.93163009365526,1,33,2,1;2;3,3;1;2,2,1668.4524682132178
leonardo,invert,332.9490749351062,2,26,2,3;2;1,1;3;2,1,1899.4047085070633
leonardo,invert,343.96992472428883,1,3,1,1;2;3,3;2;1,1,1725.7304938466405
leonardo,invert,354.98848765182174,2,4,1,3;2;1,1;2;3,1,1635.2497605921599
leonardo,invert,366.00609586658175,1,29,2,1;2;3,3;1;2,2,1659.1194032789645
leonardo,invert,377.0215288094969,2,12,1,3;2;1,1;2;3,1,1649.6948055309986
leonardo,invert,388.0388846708429,2,32,2,3;2;1,1;3;2,1,1641.9794280918723
leonardo,invert,399.0557234264925,1,37,2,1;2;3,3;1;2,2,1665.0187113491484
leonardo,invert,410.0714382612996,2,8,1,3;2;1,1;2;3,2,1631.8984197278041
leonardo,invert,421.09033085283045,2,24,1,3;2;1,1;2;3,1,1614.1822618892547
leonardo,invert,432.1071262124451,1,11,1,1;2;3,3;2;1,1,1755.3736325689897
leonardo,invert,443.12505533906096,1,35,2,1;2;3,3;1;2,2,1656.2654757917699
leonardo,invert,454.1447976176669,1,43,2,1;2;3,3;1;2,2,1758.547013221687
leonardo,invert,465.1642875428579,2,46,2,3;2;1,1;3;2,1,1780.77490002579
leonardo,invert,476.1800990158945,1,47,2,1;2;3,3;1;2,2,1645.882518545477
leonardo,invert,487.19580619257704,1,13,1,1;2;3,3;2;1,1,2004.1911817797882
leonardo,invert,498.21478265879796,2,18,1,3;2;1,1;2;3,1,1649.5784749831728
leonardo,invert,509.2310328329295,2,34,2,3;2;1,1;3;2,1,1777.690499477103
leonardo,invert,520.2471214571142,1,5,1,1;2;3,3;2;1,1,2345.1582058987697
leonardo,invert,531.264436839806,2,20,1,3;2;1,1;2;3,1,1645.1283756823614
leonardo,invert,542.2837823546615,1,45,2,1;2;3,3;1;2,2,1676.1889966610397
