subject,block,time,melID,trialID,type,prime,target,response,rt
pilot3,invert,0.515089057,2,34,2,3;2;1,1;3;2,0,2500.007658
pilot3,invert,11.53354769,1,27,2,1;2;3,3;1;2,2,1743.353296
pilot3,invert,22.5548865,1,19,1,1;2;3,3;2;1,1,1565.036434
pilot3,invert,33.57542778,1,5,1,1;2;3,3;2;1,1,1839.776004
pilot3,invert,44.5960409,2,38,2,3;2;1,3;2;1,2,1644.476341
pilot3,invert,55.61474386,2,10,1,3;2;1,1;2;3,1,1930.273147
pilot3,invert,66.63261026,2,22,1,3;2;1,1;2;3,1,2087.48896
pilot3,invert,77.6550595,1,11,1,1;2;3,3;2;1,1,1727.977971
pilot3,invert,88.67535827,1,15,1,1;2;3,3;2;1,1,1508.218626
pilot3,invert,99.69864189,2,48,2,3;2;1,3;2;1,2,1595.943893
pilot3,invert,110.717983,1,35,2,1;2;3,3;1;2,2,1664.35756
pilot3,invert,121.7374897,1,25,2,1;2;3,3;1;2,2,1638.216737
pilot3,invert,132.7548529,1,17,1,1;2;3,3;2;1,1,1606.471625
pilot3,invert,143.7712672,1,33,2,1;2;3,3;1;2,2,1595.866218
pilot3,invert,154.7901371,1,13,1,1;2;3,3;2;1,1,1513.322947
pilot3,invert,165.8067097,2,42,2,3;2;1,3;2;1,2,1529.409748
pilot3,invert,176.8222039,2,14,1,3;2;1,1;2;3,1,1586.351181
pilot3,invert,187.8384132,1,41,2,1;2;3,1;2;3,2,1538.893423
pilot3,invert,198.8551685,1,21,1,1;2;3,3;2;1,1,1502.491078
pilot3,invert,209.8749086,1,7,1,1;2;3,3;2;1,1,1502.391887
pilot3,invert,220.8955822,1,23,1,1;2;3,3;2;1,1,1502.210645
pilot3,invert,231.9109754,2,18,1,3;2;1,1;2;3,1,1502.100149
pilot3,invert,242.9271782,2,36,2,3;2;1,1;3;2,1,1501.526884
pilot3,invert,253.9447904,2,44,2,3;2;1,3;2;1,2,1501.782155
pilot3,invert,264.9625383,1,29,2,1;2;3,3;1;2,2,1630.460151
pilot3,invert,275.9797041,2,4,1,3;2;1,1;2;3,1,1747.289936
pilot3,invert,286.9983677,1,9,1,1;2;3,3;2;1,1,1554.043015
pilot3,invert,298.0148145,2,12,1,3;2;1,1;2;3,1,1514.644156
pilot3,invert,309.0313903,1,39,2,1;2;3,1;2;3,2,1585.6955
pilot3,invert,320.0491652,2,40,2,3;2;1,3;2;1,2,1503.262361
pilot3,invert,331.0662424,1,47,2,1;2;3,1;2;3,2,1502.174543
pilot3,invert,342.082466,1,31,2,1;2;3,3;1;2,2,1548.155741
pilot3,invert,353.0997467,2,16,1,3;2;1,1;2;3,1,1502.258782
pilot3,invert,364.1152121,1,43,2,1;2;3,1;2;3,2,1502.854292
pilot3,invert,375.1321453,1,3,1,1;2;3,3;2;1,2,1502.753278
pilot3,invert,386.1514361,1,1,1,1;2;3,3;2;1,1,1824.572075
pilot3,invert,397.170018,2,28,2,3;2;1,1;3;2,2,1687.360376
pilot3,invert,408.1848489,2,30,2,3;2;1,1;3;2,2,2408.327881
pilot3,invert,419.200404,2,8,1,3;2;1,1;2;3,1,1511.982046
pilot3,invert,430.2184126,2,46,2,3;2;1,3;2;1,2,1501.065938
pilot3,invert,441.2334397,2,2,1,3;2;1,1;2;3,1,1527.641816
pilot3,invert,452.2499152,2,20,1,3;2;1,1;2;3,1,1654.664563
pilot3,invert,463.2655484,2,6,1,3;2;1,1;2;3,1,1502.53885
pilot3,invert,474.282692,1,37,2,1;2;3,1;2;3,2,1539.550563
pilot3,invert,485.3040505,1,45,2,1;2;3,1;2;3,2,1502.153027
pilot3,invert,496.3213491,2,32,2,3;2;1,1;3;2,2,1631.072436
pilot3,invert,507.3385161,2,24,1,3;2;1,1;2;3,1,1502.592093
pilot3,invert,518.3575374,2,26,2,3;2;1,1;3;2,2,1501.252286
