subject,block,time,melID,trialID,prime,target,type,response,rt
pilot9,recognize,0.5112054639557755,1,35,1;2;3,3;2;1,2,2,1506.6959279611183
pilot9,recognize,10.134338296886199,2,24,3;2;1,3;2;1,1,1,1444.7118706993933
pilot9,recognize,19.750310062507197,2,40,3;2;1,3;1;2,2,2,1574.5373495410604
pilot9,recognize,29.438390278713996,2,42,3;2;1,3;1;2,2,2,1467.3780691264255
pilot9,recognize,39.05623390656183,1,7,1;2;3,1;2;3,1,1,1338.5776837403682
pilot9,recognize,48.67327160892273,1,47,1;2;3,1;3;2,2,2,1322.4817837144656
pilot9,recognize,58.29049237671097,1,13,1;2;3,1;2;3,1,1,1345.6942610464466
pilot9,recognize,67.90794215861752,1,9,1;2;3,1;2;3,1,1,1327.2506016182888
pilot9,recognize,77.52520923977136,2,12,3;2;1,3;2;1,1,1,1427.1656694709236
pilot9,recognize,87.14516140207706,2,28,3;2;1,1;2;3,2,2,1322.5503420817404
pilot9,recognize,96.75793316944873,2,44,3;2;1,3;1;2,2,2,1195.642969903929
pilot9,recognize,106.37338710059703,2,30,3;2;1,1;2;3,2,2,789.4109414046397
pilot9,recognize,115.98777144828455,2,8,3;2;1,3;2;1,1,1,1453.5146920934494
pilot9,recognize,125.60401927073508,2,14,3;2;1,3;2;1,1,1,1456.8065877301706
pilot9,recognize,135.21476163750958,1,3,1;2;3,1;2;3,1,1,1460.0171614729334
pilot9,recognize,144.82877511360493,1,37,1;2;3,1;3;2,2,2,1278.9596194870683
pilot9,recognize,154.4415972057359,2,46,3;2;1,3;1;2,2,2,1481.7166139910114
pilot9,recognize,164.05590971300626,1,5,1;2;3,1;2;3,1,1,1459.6346203707071
pilot9,recognize,173.67006832862353,1,41,1;2;3,1;3;2,2,2,1300.5230492854025
pilot9,recognize,183.28470539412046,1,39,1;2;3,1;3;2,2,2,1534.048893056024
pilot9,recognize,192.93228074359467,2,26,3;2;1,1;2;3,2,2,1294.851303102405
pilot9,recognize,202.54572168439154,2,18,3;2;1,3;2;1,1,1,1641.9101673873229
pilot9,recognize,212.30061749937704,2,32,3;2;1,1;2;3,2,2,1446.4287472528667
pilot9,recognize,221.9134312040478,1,11,1;2;3,1;2;3,1,1,1528.4044972831907
pilot9,recognize,256.36867116015674,1,43,1;2;3,1;3;2,2,2,1554.646670962029
pilot9,recognize,266.0364931082422,1,29,1;2;3,3;2;1,2,2,1422.969022192774
pilot9,recognize,275.6506298435288,1,23,1;2;3,1;2;3,1,1,1573.5038686252665
pilot9,recognize,285.34085323805084,1,21,1;2;3,1;2;3,1,1,1479.3549970472668
pilot9,recognize,294.9542095749057,1,25,1;2;3,3;2;1,2,2,1561.456923647711
pilot9,recognize,304.628077787489,1,19,1;2;3,1;2;3,1,1,1503.653832760392
pilot9,recognize,314.2444007324066,2,38,3;2;1,3;1;2,2,2,1637.4546028746408
pilot9,recognize,323.99559439557197,2,22,3;2;1,3;2;1,1,1,1544.4814343591133
pilot9,recognize,333.65207905071475,2,16,3;2;1,3;2;1,1,1,1430.026157933753
pilot9,recognize,343.2680055969886,1,33,1;2;3,3;2;1,2,2,1184.3859048367449
pilot9,recognize,352.8803652848146,2,6,3;2;1,3;2;1,1,1,1409.819673261154
pilot9,recognize,362.49351302918876,1,31,1;2;3,3;2;1,2,2,1845.35675695588
pilot9,recognize,372.4521672284445,2,48,3;2;1,3;1;2,2,2,1519.5440576862893
pilot9,recognize,382.0851600673759,1,27,1;2;3,3;2;1,2,2,1413.993346192001
pilot9,recognize,391.69926653487346,2,4,3;2;1,3;2;1,1,1,1480.7892526732758
pilot9,recognize,401.31226294030057,2,34,3;2;1,1;2;3,2,2,1432.2787378987414
pilot9,recognize,410.92803778295274,2,20,3;2;1,3;2;1,1,1,1464.377181879172
pilot9,recognize,420.54372911568134,2,2,3;2;1,3;2;1,1,1,1475.2768682246824
pilot9,recognize,430.157132130571,1,15,1;2;3,1;2;3,1,1,1254.9718491318345
pilot9,recognize,439.769621641688,1,45,1;2;3,1;3;2,2,2,1489.8108773668355
pilot9,recognize,449.38252760841715,1,1,1;2;3,1;2;3,1,1,1629.7359518266603
pilot9,recognize,459.12435977242967,2,10,3;2;1,3;2;1,1,1,1543.5558964018128
pilot9,recognize,468.7802707982555,1,17,1;2;3,1;2;3,1,1,1677.3435383202013
pilot9,recognize,478.57267460412004,2,36,3;2;1,1;2;3,2,2,1484.670823199849
