subject,block,time,melID,trialID,prime,target,type,response,rt
FS,invert,0.5162271896842867,1,5,1;2;3,3;2;1,1,1,752.9983547865413
FS,invert,10.150167388666887,2,24,3;2;1,1;2;3,1,1,982.5535447453149
FS,invert,19.783336603606585,1,9,1;2;3,3;2;1,1,1,1032.998354814481
FS,invert,29.433337056427263,2,44,3;2;1,3;2;1,2,2,483.93159557599574
FS,invert,39.06667290534824,2,32,3;2;1,1;3;2,2,2,1162.1825426700525
FS,invert,48.71699153247755,2,4,3;2;1,1;2;3,1,1,1152.7948922594078
FS,invert,58.35033885255689,1,37,1;2;3,1;2;3,2,2,1169.6068102610298
FS,invert,67.98365538165672,1,45,1;2;3,1;2;3,2,2,313.3479239186272
FS,invert,77.63368783297483,1,43,1;2;3,1;2;3,2,2,475.5727287847549
FS,invert,87.26708466029959,2,14,3;2;1,1;2;3,1,1,1057.6414652750827
FS,invert,96.90098742698319,1,21,1;2;3,3;2;1,1,1,1053.0946523067541
FS,invert,106.53433897334617,1,47,1;2;3,1;2;3,2,2,362.4626809032634
FS,invert,116.16763859748608,1,35,1;2;3,3;1;2,2,2,980.2665539318696
FS,invert,125.80201470118482,1,17,1;2;3,3;2;1,1,1,1009.6593361813575
FS,invert,135.4365827962174,2,10,3;2;1,1;2;3,1,1,1213.750924449414
FS,invert,145.08696964662522,1,13,1;2;3,3;2;1,1,1,1083.7245105649345
FS,invert,154.75363711832324,2,2,3;2;1,1;2;3,1,1,1292.896019818727
FS,invert,164.38712511130143,2,46,3;2;1,3;2;1,2,2,286.2862059264444
FS,invert,174.13761369296117,2,28,3;2;1,1;3;2,2,2,867.9371500038542
FS,invert,183.77156234433642,1,39,1;2;3,1;2;3,2,2,615.2125941007398
FS,invert,193.40535885165446,2,40,3;2;1,3;2;1,2,2,360.3169667767361
FS,invert,203.03873756661778,2,42,3;2;1,3;2;1,2,2,390.4010384576395
FS,invert,212.67204443569062,2,16,3;2;1,1;2;3,1,1,1211.3244683132507
FS,invert,222.3068099557422,1,25,1;2;3,3;1;2,2,2,872.8498331620358
FS,invert,233.20680784265278,1,27,1;2;3,3;1;2,2,2,860.9668996650726
FS,invert,242.8402378759929,1,29,1;2;3,3;1;2,2,2,860.1596908993088
FS,invert,252.47353085898794,2,8,3;2;1,1;2;3,1,1,993.3998460764997
FS,invert,262.2235201424919,2,6,3;2;1,1;2;3,1,1,1022.757007216569
FS,invert,271.8568855749909,1,33,1;2;3,3;1;2,2,2,920.039847260341
FS,invert,281.50692225259263,1,19,1;2;3,3;2;1,1,1,1062.4448704184033
FS,invert,291.1402659502346,2,22,3;2;1,1;2;3,1,1,990.4541681171395
FS,invert,300.7741753580631,2,36,3;2;1,1;3;2,2,2,934.8769112257287
FS,invert,310.4076796522131,1,3,1;2;3,3;2;1,1,1,858.788583194837
FS,invert,320.0410263686208,2,38,3;2;1,3;2;1,2,2,646.787315257825
FS,invert,329.67444976075785,1,15,1;2;3,3;2;1,1,1,978.5585558274761
FS,invert,339.3077282538288,2,48,3;2;1,3;2;1,2,2,340.2876851032488
FS,invert,348.9410315004643,1,11,1;2;3,3;2;1,1,1,868.7775648431852
FS,invert,358.57563280151226,2,12,3;2;1,1;2;3,1,1,1053.3319245441817
FS,invert,368.22562359442236,2,26,3;2;1,1;3;2,2,2,805.5260893306695
FS,invert,377.85901861049933,2,18,3;2;1,1;2;3,1,1,943.2387967244722
FS,invert,387.49245347379474,1,41,1;2;3,1;2;3,2,2,326.91410201368853
FS,invert,397.1428391166846,1,7,1;2;3,3;2;1,1,1,944.6600154042244
FS,invert,406.77703711530194,2,30,3;2;1,1;3;2,2,2,1118.8891069614328
FS,invert,416.410270931141,1,23,1;2;3,3;2;1,1,1,908.2402306376025
FS,invert,426.1603296454414,2,34,3;2;1,1;3;2,2,2,975.9069022838958
FS,invert,435.7949846799602,1,1,1;2;3,3;2;1,1,1,866.9808159465902
FS,invert,445.42906374047743,1,31,1;2;3,3;1;2,2,2,815.495751099661
FS,invert,455.0629562434624,2,20,3;2;1,1;2;3,1,1,1005.1559929270297
