subject,block,time,melID,trialID,prime,target,type,response,rt
FS,recognize,0.5244991170475259,2,24,3;2;1,3;2;1,1,1,1248.5116145689972
FS,recognize,10.174878118734341,2,4,3;2;1,3;2;1,1,1,1418.3556971256621
FS,recognize,19.824774727167096,1,7,1;2;3,1;2;3,1,1,1263.2061944459565
FS,recognize,29.474944832676556,1,27,1;2;3,3;2;1,2,2,1199.7572939726524
FS,recognize,39.12552971189143,1,1,1;2;3,1;2;3,1,1,1250.9628243278712
FS,recognize,48.77551507099997,1,15,1;2;3,1;2;3,1,1,1206.5953239798546
FS,recognize,58.42617602221435,2,30,3;2;1,1;2;3,2,1,700.7839645375498
FS,recognize,68.17614719335688,1,35,1;2;3,3;2;1,2,2,455.0103391520679
FS,recognize,77.8261283262982,2,2,3;2;1,3;2;1,1,1,1059.8662701668218
FS,recognize,87.47611428919481,2,6,3;2;1,3;2;1,1,1,977.212201745715
FS,recognize,97.12642808631063,1,25,1;2;3,3;2;1,2,2,421.6829426586628
FS,recognize,106.75945843959926,2,10,3;2;1,3;2;1,1,1,1121.2642446043901
FS,recognize,116.39278643985745,2,28,3;2;1,1;2;3,2,2,312.208654708229
FS,recognize,126.02612228883663,2,40,3;2;1,3;1;2,2,2,1452.2337101516314
FS,recognize,135.65944968530675,2,48,3;2;1,3;1;2,2,2,1039.1801125952043
FS,recognize,145.30945436435286,1,23,1;2;3,1;2;3,1,1,1202.8056088020094
FS,recognize,154.94281798560405,1,31,1;2;3,3;2;1,2,2,327.3143857368268
FS,recognize,164.5761634944938,2,36,3;2;1,1;2;3,2,2,319.2314309999347
FS,recognize,174.20956817048136,2,18,3;2;1,3;2;1,1,1,1177.7145186206326
FS,recognize,183.8428659834317,1,19,1;2;3,1;2;3,1,1,1125.0895808334462
FS,recognize,193.47646627324866,1,13,1;2;3,1;2;3,1,1,1078.034202218987
FS,recognize,203.10946583549958,2,32,3;2;1,1;2;3,2,2,276.0973842232488
FS,recognize,212.7595634914469,1,43,1;2;3,1;3;2,2,2,1223.3728283899836
FS,recognize,222.39363953331485,2,8,3;2;1,3;2;1,1,1,1066.0335380816832
FS,recognize,235.26028104388388,1,9,1;2;3,1;2;3,1,1,1006.7643729271367
FS,recognize,244.91029598662863,1,3,1;2;3,1;2;3,1,1,722.8955669561401
FS,recognize,254.5437453398481,2,20,3;2;1,3;2;1,1,1,1060.5388435069472
FS,recognize,264.1770793775213,2,38,3;2;1,3;1;2,2,2,1124.948907934595
FS,recognize,273.8109960303991,2,16,3;2;1,3;2;1,1,1,1004.5945089659654
FS,recognize,283.46098440827336,1,41,1;2;3,1;3;2,2,2,925.8738472708501
FS,recognize,293.0944078004104,1,37,1;2;3,1;3;2,2,2,1076.9311578478664
FS,recognize,302.7282272501034,2,22,3;2;1,3;2;1,1,1,996.2881680694409
FS,recognize,312.36157275899313,2,14,3;2;1,3;2;1,1,1,1021.7553921975195
FS,recognize,321.9949007591931,1,45,1;2;3,1;3;2,2,2,926.3169969781302
FS,recognize,331.6283096614643,2,42,3;2;1,3;1;2,2,2,916.6081535513513
FS,recognize,341.2616201530327,1,21,1;2;3,1;2;3,1,1,1027.1444311947562
FS,recognize,350.89521319791675,2,26,3;2;1,1;2;3,2,2,599.8991743545048
FS,recognize,360.5283178120153,2,44,3;2;1,3;1;2,2,2,839.6649208152667
FS,recognize,370.1616500384989,1,11,1;2;3,1;2;3,1,1,995.6011048634537
FS,recognize,379.81275595066836,1,33,1;2;3,3;2;1,2,2,366.64966109674424
FS,recognize,389.44668709341204,1,39,1;2;3,1;3;2,2,2,896.8481427291408
FS,recognize,399.0800060374895,1,29,1;2;3,3;2;1,2,2,370.2389326062985
FS,recognize,408.7307164958911,1,17,1;2;3,1;2;3,1,1,1874.4213847094215
FS,recognize,418.74665720795747,2,12,3;2;1,3;2;1,1,1,1131.7229408305138
FS,recognize,428.3800884488155,1,47,1;2;3,1;3;2,2,2,971.4083890430629
FS,recognize,438.01340316666756,2,46,3;2;1,3;1;2,2,2,891.4681599708274
FS,recognize,447.64757218543673,1,5,1;2;3,1;2;3,1,1,1088.8056390103884
FS,recognize,457.2973522708635,2,34,3;2;1,1;2;3,2,2,680.850074684713
