subject,block,time,melID,trialID,prime,target,type,response,rt
Pilot_6,invert,0.5380930674728006,1,43,1;2;3,1;2;3,2,2,2027.4312106776051
Pilot_6,invert,10.70549741142895,2,8,3;2;1,1;2;3,1,0,2500.026263005566
Pilot_6,invert,21.3560997992754,1,21,1;2;3,3;2;1,1,1,1706.7960696294904
Pilot_6,invert,31.20621254888829,1,31,1;2;3,3;1;2,2,2,1958.7768101482652
Pilot_6,invert,41.30631609132979,2,10,3;2;1,1;2;3,1,2,2157.3936274508014
Pilot_6,invert,51.60629646963207,2,18,3;2;1,1;2;3,1,1,2354.4328558491543
Pilot_6,invert,62.10627141414443,1,3,1;2;3,3;2;1,1,1,1852.983563032467
Pilot_6,invert,72.10640061582671,1,47,1;2;3,1;2;3,2,2,1529.843478812836
Pilot_6,invert,81.77295397943817,2,24,3;2;1,1;2;3,1,1,1949.833517021034
Pilot_6,invert,91.87293496145867,1,9,1;2;3,3;2;1,1,1,2225.302401406225
Pilot_6,invert,102.23962748859776,1,17,1;2;3,3;2;1,1,1,1837.6568608218804
Pilot_6,invert,112.22293571615592,1,41,1;2;3,1;2;3,2,2,1514.7637088084593
Pilot_6,invert,121.87294039514381,1,27,1;2;3,3;1;2,2,2,2028.8777866517194
Pilot_6,invert,132.0400597708649,1,11,1;2;3,3;2;1,1,1,2055.407604202628
Pilot_6,invert,142.24006701586768,2,48,3;2;1,3;2;1,2,1,2187.6346731442027
Pilot_6,invert,152.57338867674116,1,13,1;2;3,3;2;1,1,2,1976.9604395260103
Pilot_6,invert,162.690474997391,1,7,1;2;3,3;2;1,1,1,1751.1816823389381
Pilot_6,invert,172.57386563631007,2,6,3;2;1,1;2;3,1,0,2500.032300420571
Pilot_6,invert,183.2071634492022,2,20,3;2;1,1;2;3,1,1,2134.909513522871
Pilot_6,invert,193.49059152038535,1,23,1;2;3,3;2;1,1,1,1635.8106048428454
Pilot_6,invert,203.27390820038272,2,30,3;2;1,1;3;2,2,2,1948.4122983412817
Pilot_6,invert,213.35738940123701,2,14,3;2;1,1;2;3,1,1,1747.6938402978703
Pilot_6,invert,223.24073717417195,2,16,3;2;1,1;2;3,1,1,1626.9959096098319
Pilot_6,invert,233.00798152538482,2,46,3;2;1,3;2;1,2,2,1682.5387529679574
Pilot_6,invert,258.4084729748429,1,35,1;2;3,3;1;2,2,0,2500.0540352775715
Pilot_6,invert,269.0421420916682,2,42,3;2;1,3;2;1,2,2,1568.1819691089913
Pilot_6,invert,278.759131812898,2,2,3;2;1,1;2;3,1,1,1523.6055725836195
Pilot_6,invert,288.4258228307008,2,36,3;2;1,1;3;2,2,0,2500.0335079384968
Pilot_6,invert,299.0591610945994,1,5,1;2;3,3;2;1,1,1,1524.6506573166698
Pilot_6,invert,308.7258967895759,1,19,1;2;3,3;2;1,1,1,1624.4148943806067
Pilot_6,invert,318.4925802604994,2,26,3;2;1,1;3;2,2,2,1671.1080253007822
Pilot_6,invert,328.3092653917847,2,34,3;2;1,1;3;2,2,2,1642.5816189148463
Pilot_6,invert,338.09257784555666,1,37,1;2;3,1;2;3,2,2,1771.5206858119927
Pilot_6,invert,348.0092795797973,1,15,1;2;3,3;2;1,1,1,1615.75958825415
Pilot_6,invert,357.75944153475575,1,25,1;2;3,3;1;2,2,0,2500.055242795497
Pilot_6,invert,368.3928419845179,2,28,3;2;1,1;3;2,2,0,2500.0504127820022
Pilot_6,invert,379.02634567493806,2,22,3;2;1,1;2;3,1,1,1726.268697238993
Pilot_6,invert,388.8929962416878,1,39,1;2;3,1;2;3,2,2,1127.5516580208205
Pilot_6,invert,398.5430087693967,1,1,1;2;3,3;2;1,1,1,2288.973480463028
Pilot_6,invert,408.97635246708523,2,12,3;2;1,1;2;3,1,1,1629.3100690236315
Pilot_6,invert,418.74305646534776,2,38,3;2;1,3;2;1,2,2,1140.4494891176
Pilot_6,invert,428.37637540942524,2,40,3;2;1,3;2;1,2,2,1031.6290582995862
Pilot_6,invert,438.00966718490236,2,32,3;2;1,1;3;2,2,2,1578.253663959913
Pilot_6,invert,447.72635020304006,2,44,3;2;1,3;2;1,2,2,1109.2013946617953
Pilot_6,invert,457.3763452221174,1,29,1;2;3,3;1;2,2,0,2500.022640451789
Pilot_6,invert,468.02636318356963,2,4,3;2;1,1;2;3,1,1,1592.6361070014536
Pilot_6,invert,477.7596812219708,1,33,1;2;3,3;1;2,2,0,2500.026262947358
Pilot_6,invert,488.3930110334768,1,45,1;2;3,1;2;3,2,2,1756.233227206394
