subject,block,time,melID,trialID,prime,target,type,response,rt
Pilot_6,recognize,0.5279151132563129,2,14,3;2;1,3;2;1,1,1,1662.0186255895533
Pilot_6,recognize,10.328028617543168,2,18,3;2;1,3;2;1,1,1,1542.382684594486
Pilot_6,recognize,20.01124477380654,1,7,1;2;3,1;2;3,1,1,1587.9347350564785
Pilot_6,recognize,29.744605074462015,1,1,1;2;3,1;2;3,1,1,1748.6791541450657
Pilot_6,recognize,39.62826619169209,1,25,1;2;3,3;2;1,2,2,1885.8973933383822
Pilot_6,recognize,49.66227884020191,2,26,3;2;1,1;2;3,2,2,1422.4104568711482
Pilot_6,recognize,59.2956563475891,1,31,1;2;3,3;2;1,2,2,1639.0961918514222
Pilot_6,recognize,69.07894344406668,1,23,1;2;3,1;2;3,1,1,1516.2875643582083
Pilot_6,recognize,78.729406366474,2,32,3;2;1,1;2;3,2,2,1123.5808189958334
Pilot_6,recognize,88.37939595186617,2,12,3;2;1,3;2;1,1,1,2006.9986265152693
Pilot_6,recognize,98.52939972525928,2,8,3;2;1,3;2;1,1,1,1527.7188957552426
Pilot_6,recognize,108.19603640586138,2,20,3;2;1,3;2;1,1,1,1663.896880170796
Pilot_6,recognize,117.99611187417759,2,34,3;2;1,1;2;3,2,2,1532.3188384063542
Pilot_6,recognize,127.66286085156025,2,30,3;2;1,1;2;3,2,2,1568.4041476924904
Pilot_6,recognize,137.36291307560168,1,19,1;2;3,1;2;3,1,1,1517.7890812628902
Pilot_6,recognize,147.02952500263928,1,27,1;2;3,3;2;1,2,2,1580.3136461763643
Pilot_6,recognize,156.7466475479887,2,22,3;2;1,3;2;1,1,1,1632.5461488449946
Pilot_6,recognize,166.51339139358606,1,35,1;2;3,3;2;1,2,2,1632.1778636192903
Pilot_6,recognize,176.29669539490715,2,2,3;2;1,3;2;1,1,1,1716.676376934629
Pilot_6,recognize,186.1466873952886,2,44,3;2;1,3;1;2,2,2,1676.1474952218123
Pilot_6,recognize,195.96332905680174,1,3,1;2;3,1;2;3,1,1,1747.2615579608828
Pilot_6,recognize,205.84666294354247,1,37,1;2;3,1;3;2,2,2,1602.6981419418007
Pilot_6,recognize,215.5966667169705,1,43,1;2;3,1;3;2,2,2,1638.8752207276411
Pilot_6,recognize,225.38003048917744,1,9,1;2;3,1;2;3,1,1,1890.1942553929985
Pilot_6,recognize,260.96347455959767,2,40,3;2;1,3;1;2,2,2,1609.3284832895733
Pilot_6,recognize,270.71343124081613,1,15,1;2;3,1;2;3,1,1,1680.406321247574
Pilot_6,recognize,280.53044601751026,2,36,3;2;1,1;2;3,2,2,1102.6881801662967
Pilot_6,recognize,290.1638186950004,1,29,1;2;3,3;2;1,2,2,1671.1231189547107
Pilot_6,recognize,299.9804307729355,1,41,1;2;3,1;3;2,2,2,1683.616440044716
Pilot_6,recognize,309.79702534223907,2,28,3;2;1,1;2;3,2,2,1464.9310974637046
Pilot_6,recognize,319.4308635080233,2,16,3;2;1,3;2;1,1,1,2076.963156403508
Pilot_6,recognize,329.64754079061095,1,13,1;2;3,1;2;3,1,1,1620.2792326221243
Pilot_6,recognize,339.414190451731,1,5,1;2;3,1;2;3,1,1,1570.1695017050952
Pilot_6,recognize,349.13236593059264,1,21,1;2;3,1;2;3,1,1,2052.461322513409
Pilot_6,recognize,359.3323653268162,1,39,1;2;3,1;3;2,2,2,1618.6418727738783
Pilot_6,recognize,369.099010761769,2,10,3;2;1,3;2;1,1,1,1715.4121323255822
Pilot_6,recognize,378.9491380012478,2,6,3;2;1,3;2;1,1,1,1578.1003124429844
Pilot_6,recognize,388.66569544019876,1,11,1;2;3,1;2;3,1,1,1959.6003199694678
Pilot_6,recognize,398.765707213257,2,46,3;2;1,3;1;2,2,1,1902.2776327328756
Pilot_6,recognize,408.8157064585248,1,17,1;2;3,1;2;3,1,1,1775.2415739232674
Pilot_6,recognize,418.73235989309615,2,4,3;2;1,3;2;1,1,1,1631.9085928262211
Pilot_6,recognize,428.4990451752674,1,45,1;2;3,1;3;2,2,2,1574.353463249281
Pilot_6,recognize,438.21635186328785,2,38,3;2;1,3;1;2,2,2,2325.1348618068732
Pilot_6,recognize,448.6830893695005,1,47,1;2;3,1;3;2,2,2,1620.759210898541
Pilot_6,recognize,458.4497698217165,2,48,3;2;1,3;1;2,2,2,2413.2661162293516
Pilot_6,recognize,468.9997856700793,2,24,3;2;1,3;2;1,1,1,1817.1125835506245
Pilot_6,recognize,478.9502259520232,1,33,1;2;3,3;2;1,2,2,1454.1264546569437
Pilot_6,recognize,488.60024995094864,2,42,3;2;1,3;1;2,2,2,1644.8752509313636
