subject,block,time,melID,trialID,prime,target,type,response,rt
xxx,invert,0.5134292642469518,2,48,3;2;1,3;2;1,2,2,1521.4298243517987
xxx,invert,10.134357918519527,1,45,1;2;3,3;1;2,2,2,1487.014542799443
xxx,invert,19.726263345684856,1,59,1;2;3,1;2;3,2,2,1170.5272769904695
xxx,invert,29.31704229809111,1,13,1;2;3,3;2;1,1,1,1984.9871434853412
xxx,invert,39.40762013330823,2,34,3;2;1,1;3;2,2,2,1420.3698294586502
xxx,invert,49.00280542910332,1,29,1;2;3,3;2;1,1,2,1854.4495389214717
xxx,invert,58.96103031781968,2,42,3;2;1,1;3;2,2,2,1386.9767262367532
xxx,invert,68.55002784280805,2,2,3;2;1,1;2;3,1,2,1386.3469359930605
xxx,invert,78.14374241256155,1,49,1;2;3,1;2;3,2,1,2434.1008605551906
xxx,invert,88.68247669830453,2,44,3;2;1,1;3;2,2,2,1320.4476141836494
xxx,invert,98.27157049695961,2,54,3;2;1,3;2;1,2,1,1804.661468602717
xxx,invert,108.18058532202849,2,6,3;2;1,1;2;3,1,2,1728.5607852973044
xxx,invert,118.01250901201274,2,28,3;2;1,1;2;3,1,1,1236.7726734955795
xxx,invert,127.59572719986318,1,47,1;2;3,1;2;3,2,2,904.1194551973604
xxx,invert,137.18720595963532,2,10,3;2;1,1;2;3,1,1,1036.6777125746012
xxx,invert,146.78059305308852,2,60,3;2;1,3;2;1,2,2,1120.9248252562247
xxx,invert,156.37284637824632,1,33,1;2;3,3;1;2,2,2,1319.5749517763034
xxx,invert,165.96220456477022,2,32,3;2;1,1;3;2,2,2,2050.322680908721
xxx,invert,176.1172445457196,1,57,1;2;3,1;2;3,2,2,1436.894620070234
xxx,invert,185.711373019265,2,26,3;2;1,1;2;3,1,1,1924.7683323919773
xxx,invert,195.73990758461878,2,20,3;2;1,1;2;3,1,1,1604.510348115582
xxx,invert,205.4447700974415,1,41,1;2;3,3;1;2,2,2,1236.9283888256177
xxx,invert,215.0365114217857,1,31,1;2;3,3;1;2,2,2,1170.8645994658582
xxx,invert,224.62742530315882,1,21,1;2;3,3;2;1,1,2,1370.778317854274
xxx,invert,234.21893980092136,1,5,1;2;3,3;2;1,1,1,1386.894310126081
xxx,invert,243.80901420512237,2,4,3;2;1,1;2;3,1,1,1842.5331204780377
xxx,invert,253.7577473859419,1,17,1;2;3,3;2;1,1,1,1387.3348350171
xxx,invert,263.34294064255664,1,25,1;2;3,3;2;1,1,1,1501.5172218554653
xxx,invert,272.9486657163361,2,36,3;2;1,1;3;2,2,2,1516.508198052179
xxx,invert,282.5560434880317,1,35,1;2;3,3;1;2,2,2,1320.5464405473322
