10.3723 	WARNING 	Monitor specification not found. Creating a temporary one...
10.3859 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1920, 1080]. Using actual size
13.1194 	DATA 	Mouse: Left button down, pos=(551,660)
13.2068 	DATA 	Mouse:  Left button up, pos=(551,660)
13.3910 	DATA 	Keypress: space
13.3958 	EXP 	Sound  started
13.8957 	EXP 	Sound  started
14.3878 	EXP 	Sound  started
14.8895 	EXP 	Sound  started
15.3887 	EXP 	Sound  started
15.8911 	EXP 	Sound  started
16.3900 	EXP 	Sound  started
16.8904 	EXP 	Sound  started
17.3922 	EXP 	Sound  started
17.8920 	EXP 	Sound  started
18.3913 	EXP 	Sound  started
18.8925 	EXP 	Sound  started
19.3934 	EXP 	Sound  started
19.8953 	EXP 	Sound  started
20.3932 	EXP 	Sound  started
20.8950 	EXP 	Sound  started
21.3948 	EXP 	Sound  started
21.8942 	EXP 	Sound  started
22.3987 	EXP 	Sound  started
22.8976 	EXP 	Sound  started
23.3954 	EXP 	Sound  started
23.8956 	EXP 	Sound  started
24.3959 	EXP 	Sound  started
24.8996 	EXP 	Sound  started
25.3969 	EXP 	Sound  started
25.8972 	EXP 	Sound  started
26.4007 	EXP 	Sound  started
26.8992 	EXP 	Sound  started
27.3996 	EXP 	Sound  started
27.8991 	EXP 	Sound  started
28.3996 	EXP 	Sound  started
28.9001 	EXP 	Sound  started
29.4002 	EXP 	Sound  started
29.9007 	EXP 	Sound  started
30.4017 	EXP 	Sound  started
30.9015 	EXP 	Sound  started
31.4021 	EXP 	Sound  started
31.9057 	EXP 	Sound  started
32.4040 	EXP 	Sound  started
32.9032 	EXP 	Sound  started
33.4046 	EXP 	Sound  started
33.9041 	EXP 	Sound  started
34.4044 	EXP 	Sound  started
34.9075 	EXP 	Sound  started
35.4070 	EXP 	Sound  started
35.9058 	EXP 	Sound  started
36.4095 	EXP 	Sound  started
36.9083 	EXP 	Sound  started
37.4073 	EXP 	Sound  started
37.9093 	EXP 	Sound  started
38.4108 	EXP 	Sound  started
38.9118 	EXP 	Sound  started
39.4106 	EXP 	Sound  started
39.9099 	EXP 	Sound  started
40.4098 	EXP 	Sound  started
40.9112 	EXP 	Sound  started
41.4101 	EXP 	Sound  started
41.9106 	EXP 	Sound  started
42.4127 	EXP 	Sound  started
42.9131 	EXP 	Sound  started
43.4120 	EXP 	Sound  started
43.9143 	EXP 	Sound  started
44.4136 	EXP 	Sound  started
44.9156 	EXP 	Sound  started
45.4175 	EXP 	Sound  started
45.9141 	EXP 	Sound  started
46.4155 	EXP 	Sound  started
46.9169 	EXP 	Sound  started
47.4155 	EXP 	Sound  started
47.9164 	EXP 	Sound  started
48.4173 	EXP 	Sound  started
48.9179 	EXP 	Sound  started
49.4171 	EXP 	Sound  started
49.9174 	EXP 	Sound  started
50.4373 	EXP 	Sound  started
50.9351 	EXP 	Sound  started
51.4358 	EXP 	Sound  started
51.9368 	EXP 	Sound  started
52.4362 	EXP 	Sound  started
52.9375 	EXP 	Sound  started
53.4367 	EXP 	Sound  started
53.9372 	EXP 	Sound  started
54.4391 	EXP 	Sound  started
54.9382 	EXP 	Sound  started
55.4387 	EXP 	Sound  started
55.9389 	EXP 	Sound  started
56.4394 	EXP 	Sound  started
56.9408 	EXP 	Sound  started
57.4425 	EXP 	Sound  started
57.9414 	EXP 	Sound  started
58.4413 	EXP 	Sound  started
58.9435 	EXP 	Sound  started
59.4418 	EXP 	Sound  started
59.9434 	EXP 	Sound  started
60.4451 	EXP 	Sound  started
60.9429 	EXP 	Sound  started
61.4436 	EXP 	Sound  started
61.9459 	EXP 	Sound  started
62.4447 	EXP 	Sound  started
62.9448 	EXP 	Sound  started
63.4453 	EXP 	Sound  started
63.9454 	EXP 	Sound  started
64.4461 	EXP 	Sound  started
64.9471 	EXP 	Sound  started
65.4468 	EXP 	Sound  started
65.9525 	EXP 	Sound  started
66.4492 	EXP 	Sound  started
66.9482 	EXP 	Sound  started
67.4507 	EXP 	Sound  started
67.9524 	EXP 	Sound  started
68.4496 	EXP 	Sound  started
68.9530 	EXP 	Sound  started
69.4503 	EXP 	Sound  started
69.9526 	EXP 	Sound  started
70.4517 	EXP 	Sound  started
70.9540 	EXP 	Sound  started
71.4696 	EXP 	Sound  started
71.9700 	EXP 	Sound  started
72.4705 	EXP 	Sound  started
72.9710 	EXP 	Sound  started
73.4710 	EXP 	Sound  started
73.9716 	EXP 	Sound  started
74.4721 	EXP 	Sound  started
74.9723 	EXP 	Sound  started
75.4760 	EXP 	Sound  started
75.9737 	EXP 	Sound  started
76.4740 	EXP 	Sound  started
76.9733 	EXP 	Sound  started
77.4737 	EXP 	Sound  started
77.9779 	EXP 	Sound  started
78.4750 	EXP 	Sound  started
78.9810 	EXP 	Sound  started
79.4757 	EXP 	Sound  started
79.9764 	EXP 	Sound  started
80.4761 	EXP 	Sound  started
80.9835 	EXP 	Sound  started
81.4834 	EXP 	Sound  started
81.9843 	EXP 	Sound  started
82.4810 	EXP 	Sound  started
82.9844 	EXP 	Sound  started
83.4847 	EXP 	Sound  started
83.9862 	EXP 	Sound  started
84.5194 	EXP 	Sound  started
85.0203 	EXP 	Sound  started
85.5201 	EXP 	Sound  started
86.0201 	EXP 	Sound  started
86.5171 	EXP 	Sound  started
87.0184 	EXP 	Sound  started
87.5153 	EXP 	Sound  started
88.0218 	EXP 	Sound  started
88.5229 	EXP 	Sound  started
89.0182 	EXP 	Sound  started
89.5184 	EXP 	Sound  started
90.0191 	EXP 	Sound  started
90.5200 	EXP 	Sound  started
91.0198 	EXP 	Sound  started
91.5207 	EXP 	Sound  started
92.0197 	EXP 	Sound  started
92.5203 	EXP 	Sound  started
93.0204 	EXP 	Sound  started
93.5212 	EXP 	Sound  started
94.0213 	EXP 	Sound  started
94.5225 	EXP 	Sound  started
95.0228 	EXP 	Sound  started
