subject,block,time,melID,trialID,prime,target,type,response,rt
xxxx,invert,0.5328912292898167,2,24,3;2;1,1;2;3,1,1,1778.6254781822208
xxxx,invert,8.857161976397038,1,23,1;2;3,3;2;1,1,1,1500.0576181919314
xxxx,invert,16.91179239950725,2,26,3;2;1,1;2;3,1,1,1528.1862307165284
xxxx,invert,24.986059317569016,2,50,3;2;1,3;2;1,2,2,1770.449895906495
xxxx,invert,33.306811344227754,2,18,3;2;1,1;2;3,1,1,1499.7421768784989
xxxx,invert,41.343194308225065,1,43,1;2;3,3;1;2,2,2,1484.623603784712
xxxx,invert,49.3955695994955,1,37,1;2;3,3;1;2,2,2,1533.0163117614575
xxxx,invert,57.47450650759856,2,36,3;2;1,1;3;2,2,2,1618.6114018200897
xxxx,invert,65.64335768128512,1,39,1;2;3,3;1;2,2,2,1521.2450632534456
xxxx,invert,73.71781021737843,2,46,3;2;1,3;2;1,2,2,1570.1395600044634
xxxx,invert,81.8293203607318,1,45,1;2;3,3;1;2,2,1,1792.8258071187884
