subject,block,time,melID,trialID,prime,target,type,response,rt
xxxx,invert,0.5078830999991624,2,2,3;2;1,1;2;3,1,1,1898.7030999996932
xxxx,invert,9.80583420000039,1,9,1;2;3,3;2;1,1,2,1739.5747999980813
xxxx,invert,18.956595799998468,2,22,3;2;1,1;2;3,1,1,1399.5818000003055
xxxx,invert,28.004524299998593,1,3,1;2;3,3;2;1,1,1,1554.3777999992017
xxxx,invert,36.70041019999917,1,5,1;2;3,3;2;1,1,1,1514.6514999978535
xxxx,invert,45.437291999998706,2,34,3;2;1,3;2;1,2,2,1483.505399999558
xxxx,invert,54.334964599998784,2,14,3;2;1,1;2;3,1,1,1465.3660999974818
xxxx,invert,63.94870810000066,1,37,1;2;3,3;1;2,2,2,1651.4419000013731
xxxx,invert,73.06016810000074,2,4,3;2;1,1;2;3,1,1,1522.3965000004682
xxxx,invert,81.80549109999993,1,41,1;2;3,3;1;2,2,2,1416.8459000029543
xxxx,invert,90.43790119999903,2,32,3;2;1,3;2;1,2,2,2554.9234000027354
xxxx,invert,101.18789259999903,2,30,3;2;1,3;2;1,2,2,1432.556800002203
xxxx,invert,110.03610729999855,2,18,3;2;1,1;2;3,1,1,1634.715899999719
xxxx,invert,118.83602579999933,2,44,3;2;1,1;3;2,2,2,1511.0911999981909
xxxx,invert,127.34852289999981,1,23,1;2;3,3;2;1,1,1,1525.5847999978869
xxxx,invert,135.93999800000165,1,19,1;2;3,3;2;1,1,1,1513.1712000002153
xxxx,invert,144.50829639999938,1,43,1;2;3,3;1;2,2,2,1437.0615000007092
xxxx,invert,153.2861473999983,1,33,1;2;3,1;2;3,2,1,1851.7171000021335
xxxx,invert,164.05187819999992,1,27,1;2;3,1;2;3,2,2,1403.0490000004647
xxxx,invert,172.67707950000113,1,45,1;2;3,3;1;2,2,2,1418.7012999973376
xxxx,invert,181.1721006000007,1,15,1;2;3,3;2;1,1,1,1546.534099998098
xxxx,invert,189.63575019999917,2,10,3;2;1,1;2;3,1,1,1524.1677000012714
xxxx,invert,198.38717800000086,1,11,1;2;3,3;2;1,1,1,1793.6307000018132
xxxx,invert,207.4039632999993,1,25,1;2;3,1;2;3,2,2,1452.0406000010553
xxxx,invert,224.00525030000063,2,40,3;2;1,1;3;2,2,2,1332.6978000004601
xxxx,invert,232.79668790000142,2,12,3;2;1,1;2;3,1,1,1483.079199999338
xxxx,invert,241.38760589999947,1,31,1;2;3,1;2;3,2,2,1699.5064000002458
xxxx,invert,250.1957665000009,1,13,1;2;3,3;2;1,1,1,1543.0339000013191
xxxx,invert,258.8206242999986,2,16,3;2;1,1;2;3,1,1,1752.5339000021631
xxxx,invert,267.60454630000095,2,42,3;2;1,1;3;2,2,2,1557.4892000004184
xxxx,invert,276.1883252000007,2,48,3;2;1,1;3;2,2,2,1642.0770999975502
xxxx,invert,284.89967550000074,1,1,1;2;3,3;2;1,1,2,2313.4600999983377
xxxx,invert,295.11569729999974,1,39,1;2;3,3;1;2,2,2,1433.7417999995523
xxxx,invert,303.6193147999984,2,36,3;2;1,3;2;1,2,2,1948.4420000007958
xxxx,invert,312.81197709999833,1,21,1;2;3,3;2;1,1,1,1383.589299999585
xxxx,invert,321.3559764999991,2,8,3;2;1,1;2;3,1,1,1621.018700003333
xxxx,invert,330.0947965999985,2,28,3;2;1,3;2;1,2,2,2268.005300000368
xxxx,invert,339.388291700001,1,29,1;2;3,1;2;3,2,2,1915.9624999992957
xxxx,invert,348.21063700000013,2,24,3;2;1,1;2;3,1,1,1774.664299999131
xxxx,invert,357.19606360000034,1,7,1;2;3,3;2;1,1,1,3138.4938999981387
xxxx,invert,368.05104700000084,1,35,1;2;3,1;2;3,2,2,1217.079800000647
xxxx,invert,377.1952065000005,2,38,3;2;1,1;3;2,2,2,1432.919299997593
xxxx,invert,386.5945553999991,2,20,3;2;1,1;2;3,1,1,2598.3488999991096
xxxx,invert,396.1713946999989,2,46,3;2;1,1;3;2,2,2,2316.988400001719
xxxx,invert,405.64559219999865,2,26,3;2;1,3;2;1,2,2,1540.7812999983435
xxxx,invert,414.09439570000177,2,6,3;2;1,1;2;3,1,1,1399.8869999995804
xxxx,invert,422.47577699999965,1,47,1;2;3,3;1;2,2,2,1483.9504000010493
xxxx,invert,431.04491939999934,1,17,1;2;3,3;2;1,1,1,1559.2276999996102
