subject,block,time,melID,trialID,prime,target,type,response,rt
xxxx,recognize,0.52261880000151,1,25,1;2;3,3;2;1,2,2,1817.8197999986878
xxxx,recognize,10.846863599999779,1,17,1;2;3,1;2;3,1,1,1744.5683999994799
xxxx,recognize,20.73399320000135,2,36,3;2;1,1;2;3,2,2,1841.5438000010909
xxxx,recognize,33.988408700000946,1,45,1;2;3,1;3;2,2,2,1771.90150000024
xxxx,recognize,45.44624990000011,1,9,1;2;3,1;2;3,1,1,1686.6399999998976
xxxx,recognize,54.75852459999987,2,44,3;2;1,3;1;2,2,2,1815.6446999983018
xxxx,recognize,64.15995400000065,2,20,3;2;1,3;2;1,1,1,1635.347900000852
xxxx,recognize,75.62809060000109,2,30,3;2;1,1;2;3,2,1,1367.269500000475
xxxx,recognize,84.41491270000006,2,38,3;2;1,3;1;2,2,2,1368.0610000010347
xxxx,recognize,93.27843060000123,1,11,1;2;3,1;2;3,1,1,1626.8052000013995
xxxx,recognize,102.4050556000002,1,31,1;2;3,3;2;1,2,1,2383.615500000815
xxxx,recognize,113.19744739999987,2,42,3;2;1,3;1;2,2,2,1400.610400000005
xxxx,recognize,122.02991610000026,2,26,3;2;1,1;2;3,2,1,1438.1530999999086
xxxx,recognize,130.84398060000058,2,4,3;2;1,3;2;1,1,1,1449.4195000006584
xxxx,recognize,144.92760550000094,2,28,3;2;1,1;2;3,2,2,1283.4481999998388
xxxx,recognize,153.76417949999995,2,22,3;2;1,3;2;1,1,1,1416.7588999989675
xxxx,recognize,167.71396490000006,1,5,1;2;3,1;2;3,1,1,2287.4541000001045
xxxx,recognize,177.98907900000086,1,37,1;2;3,1;3;2,2,2,1503.6435999991227
xxxx,recognize,187.6365547000005,1,13,1;2;3,1;2;3,1,1,1681.7117000009603
xxxx,recognize,196.58076540000002,2,40,3;2;1,3;1;2,2,2,1520.9783999998763
xxxx,recognize,206.26006580000103,2,8,3;2;1,3;2;1,1,1,1449.543700000504
xxxx,recognize,214.89333310000075,2,14,3;2;1,3;2;1,1,1,1350.7184999998572
xxxx,recognize,223.67612030000055,1,39,1;2;3,1;3;2,2,2,2168.604599999526
xxxx,recognize,233.0209461000013,2,34,3;2;1,1;2;3,2,2,2373.875899998893
xxxx,recognize,249.52599569999984,1,43,1;2;3,1;3;2,2,2,1679.888899998332
xxxx,recognize,258.70841740000105,2,2,3;2;1,3;2;1,1,1,1416.9202000011865
xxxx,recognize,267.47660350000115,1,21,1;2;3,1;2;3,1,1,1649.742999999944
xxxx,recognize,276.8060194999998,2,24,3;2;1,3;2;1,1,1,1608.6161999992328
xxxx,recognize,288.74832810000044,1,23,1;2;3,1;2;3,1,1,1512.2473999999784
xxxx,recognize,297.4918914000009,1,47,1;2;3,1;3;2,2,2,1500.7153000005928
xxxx,recognize,306.2051382000009,1,1,1;2;3,1;2;3,1,1,1524.8030000002473
xxxx,recognize,314.9875004000005,1,3,1;2;3,1;2;3,1,1,1433.2400000002963
xxxx,recognize,323.6190951999997,1,15,1;2;3,1;2;3,1,1,1675.7231000010506
xxxx,recognize,332.58880070000123,1,27,1;2;3,3;2;1,2,1,1561.0077000001183
xxxx,recognize,342.79597470000044,2,16,3;2;1,3;2;1,1,1,1602.7850999998918
xxxx,recognize,351.72360110000045,2,32,3;2;1,1;2;3,2,2,1778.466900001149
xxxx,recognize,360.619641700001,1,35,1;2;3,3;2;1,2,2,1503.1829999988986
xxxx,recognize,369.34007740000015,2,18,3;2;1,3;2;1,1,1,1546.4595000012196
xxxx,recognize,378.79494200000045,2,48,3;2;1,3;1;2,2,2,1500.9243000004062
xxxx,recognize,387.7229844000012,1,29,1;2;3,3;2;1,2,2,1399.8766999975487
xxxx,recognize,396.47571590000007,2,46,3;2;1,3;1;2,2,2,2086.705900001107
xxxx,recognize,405.906496399999,1,7,1;2;3,1;2;3,1,space,1777.9504999998608
xxxx,recognize,416.7309439000019,1,41,1;2;3,1;3;2,2,2,1574.4687000005797
xxxx,recognize,425.72322740000163,1,33,1;2;3,3;2;1,2,2,1432.264099999884
xxxx,recognize,434.59604039999977,2,10,3;2;1,3;2;1,1,1,1706.8954999995185
xxxx,recognize,443.49963990000106,2,12,3;2;1,3;2;1,1,1,1601.3920000004873
xxxx,recognize,452.37130239999897,2,6,3;2;1,3;2;1,1,1,1498.5739000003377
xxxx,recognize,461.099319500001,1,19,1;2;3,1;2;3,1,1,1483.7895999989996
