subject,block,time,melID,trialID,prime,target,type,response,rt
xxxxx,recognize,0.5311006895790342,1,57,1;2;3,1;3;2,2,2,1467.9460577026475
xxxxx,recognize,8.584990099130664,1,35,1;2;3,3;2;1,2,2,1434.64420773671
xxxxx,recognize,16.634697814501124,1,13,1;2;3,1;2;3,1,1,1513.8141412753612
xxxxx,recognize,24.693624803534476,2,54,3;2;1,3;1;2,2,2,1316.851859271992
xxxxx,recognize,32.74092057807138,1,47,1;2;3,1;3;2,2,2,1432.7719815191813
xxxxx,recognize,40.78404377523111,2,34,3;2;1,1;2;3,2,1,1891.6198367078323
xxxxx,recognize,49.22564811335178,2,8,3;2;1,3;2;1,1,2,1965.3627210354898
xxxxx,recognize,57.74585860205116,2,24,3;2;1,3;2;1,1,1,1468.4325302077923
xxxxx,recognize,65.79673326792545,1,53,1;2;3,1;3;2,2,1,1677.67769555212
xxxxx,recognize,74.01397204422392,2,6,3;2;1,3;2;1,1,1,1368.8260113121942
xxxxx,recognize,82.06579668074846,2,22,3;2;1,3;2;1,1,1,1399.5350431650877
xxxxx,recognize,90.11047119271825,2,20,3;2;1,3;2;1,1,1,1334.3404359184206
xxxxx,recognize,98.15829829440918,1,33,1;2;3,3;2;1,2,2,1565.8561222953722
xxxxx,recognize,106.27039665376651,2,2,3;2;1,3;2;1,1,1,1564.2931379552465
xxxxx,recognize,114.38224703611922,1,45,1;2;3,3;2;1,2,0,2500.0040114100557
xxxxx,recognize,123.43001250823727,1,55,1;2;3,1;3;2,2,2,1466.6762696870137
xxxxx,recognize,131.4765399188036,2,4,3;2;1,3;2;1,1,1,1950.06618797197
xxxxx,recognize,139.973641870165,1,51,1;2;3,1;3;2,2,2,1402.2897756949533
xxxxx,recognize,148.0240439210902,2,56,3;2;1,3;1;2,2,2,1433.5334167117253
xxxxx,recognize,156.07573764034896,1,5,1;2;3,1;2;3,1,1,1634.1526298492681
xxxxx,recognize,164.26193954466726,1,1,1;2;3,1;2;3,1,2,1450.2492533356417
xxxxx,recognize,172.30712386814412,2,36,3;2;1,1;2;3,2,2,1416.7293294740375
xxxxx,recognize,180.35589036499732,1,3,1;2;3,1;2;3,1,1,1729.9333744158503
xxxxx,recognize,188.62930613852222,2,40,3;2;1,1;2;3,2,2,1254.0290789620485
xxxxx,recognize,196.68209606190794,1,37,1;2;3,3;2;1,2,0,2500.0080227910075
xxxxx,recognize,205.74294706055662,2,16,3;2;1,3;2;1,1,1,1620.7213941961527
xxxxx,recognize,213.91128185865819,2,10,3;2;1,3;2;1,1,1,1415.7881109567825
xxxxx,recognize,221.95393827560474,1,7,1;2;3,1;2;3,1,1,1643.9400624949485
xxxxx,recognize,230.14339961853693,1,41,1;2;3,3;2;1,2,2,1304.1105831507593
xxxxx,recognize,238.1943716518581,2,46,3;2;1,3;1;2,2,2,1449.929071299266
xxxxx,recognize,254.0179291004606,2,50,3;2;1,3;1;2,2,2,2142.927732958924
xxxxx,recognize,262.7102811985824,1,43,1;2;3,3;2;1,2,2,1783.051867299946
